Name,Latitude,Longitude,Area,Population,Density,URL,Borders_URL
Академический,55.685,37.578,5.83,110459,18946.66,http://mosopen.ru/region/akademicheskij,http://mosopen.ru/public/ymapsml.php?p=region/akademicheskij/map_xml
Алексеевский,55.811314,37.648773,5.29,80449,15207.75,http://mosopen.ru/region/alekseevskij,http://mosopen.ru/public/ymapsml.php?p=region/alekseevskij/map_xml
Алтуфьевский,55.8783,37.584,3.25,57601,17723.38,http://mosopen.ru/region/altufevskij,http://mosopen.ru/public/ymapsml.php?p=region/altufevskij/map_xml
Арбат,55.75092,37.592189,2.11,36107,17112.32,http://mosopen.ru/region/arbat,http://mosopen.ru/public/ymapsml.php?p=region/arbat/map_xml
Аэропорт,55.801,37.54,4.58,79413,17339.08,http://mosopen.ru/region/aeroport,http://mosopen.ru/public/ymapsml.php?p=region/aeroport/map_xml
Бабушкинский,55.867,37.663,5.07,88607,17476.73,http://mosopen.ru/region/babushkinskij,http://mosopen.ru/public/ymapsml.php?p=region/babushkinskij/map_xml
Басманный,55.7668,37.670778,8.37,110329,13181.48,http://mosopen.ru/region/basmannyj,http://mosopen.ru/public/ymapsml.php?p=region/basmannyj/map_xml
Беговой,55.781,37.565603,5.56,42634,7667.99,http://mosopen.ru/region/begovoj,http://mosopen.ru/public/ymapsml.php?p=region/begovoj/map_xml
Бескудниковский,55.8639,37.555,3.3,79607,24123.33,http://mosopen.ru/region/beskudnikovskij,http://mosopen.ru/public/ymapsml.php?p=region/beskudnikovskij/map_xml
Бибирево,55.894,37.606,6.45,160248,24844.65,http://mosopen.ru/region/bibirevo,http://mosopen.ru/public/ymapsml.php?p=region/bibirevo/map_xml
Бирюлёво Восточное,55.59685,37.679586,14.77,155196,10507.52,http://mosopen.ru/region/biryulevo_vostochnoe,http://mosopen.ru/public/ymapsml.php?p=region/biryulevo_vostochnoe/map_xml
Бирюлёво Западное,55.587,37.635341,8.51,88573,10408.11,http://mosopen.ru/region/biryulevo_zapadnoe,http://mosopen.ru/public/ymapsml.php?p=region/biryulevo_zapadnoe/map_xml
Богородское,55.818548,37.702975,10.24,110044,10746.48,http://mosopen.ru/region/bogorodskoe,http://mosopen.ru/public/ymapsml.php?p=region/bogorodskoe/map_xml
Братеево,55.6335,37.761297,7.63,109732,14381.65,http://mosopen.ru/region/brateevo,http://mosopen.ru/public/ymapsml.php?p=region/brateevo/map_xml
