Latitude,Longitude
55.684022,37.552206
55.684573,37.55286
55.68558,37.554073
55.686434,37.555103
55.687695,37.556616
55.689465,37.558804
55.690901,37.560585
55.691592,37.561433
55.691967,37.562055
55.69364,37.564984
55.695494,37.568246
55.697403,37.571604
55.699275,37.574897
55.701111,37.578105
55.701681,37.5792
55.703159,37.581764
55.704934,37.584897
55.706461,37.587611
55.705997,37.587734
55.704952,37.588512
55.704274,37.589006
55.70302,37.589714
55.701026,37.591506
55.699512,37.592761
55.698318,37.593877
55.696403,37.595679
55.694913,37.597138
55.693646,37.598522
55.691495,37.601419
55.69094,37.599922
55.690325,37.598426
55.689949,37.597793
55.689598,37.597374
55.68878,37.596462
55.686755,37.594231
55.684967,37.592267
55.683082,37.590229
55.682234,37.589306
55.680664,37.587579
55.680373,37.587139
55.680082,37.58671
55.679197,37.586088
55.678997,37.585734
55.678569,37.584382
55.678105,37.583008
55.676887,37.579457
55.675123,37.580283
55.674874,37.580273
55.674674,37.580069
55.672716,37.577977
55.674425,37.573031
55.675565,37.569694
55.675911,37.568707
55.677602,37.563815
55.678372,37.562023
55.680288,37.558697
55.682106,37.555575
55.682622,37.554695
55.684022,37.552206
