Latitude,Longitude
55.824412,37.670373
55.824702,37.669043
55.824871,37.668549
55.824835,37.668013
55.824895,37.667412
55.825161,37.667198
55.825499,37.667219
55.825898,37.66694
55.826152,37.666382
55.826478,37.665502
55.827372,37.661576
55.827782,37.657756
55.828507,37.654645
55.829183,37.653765
55.829811,37.653465
55.830379,37.6534
55.831925,37.654967
55.832577,37.655117
55.833314,37.654344
55.831152,37.652199
55.829002,37.649731
55.824412,37.645075
55.821344,37.641813
55.819677,37.640097
55.818421,37.639281
55.817551,37.638852
55.816415,37.638766
55.813346,37.638251
55.811316,37.63765
55.81006,37.637436
55.808537,37.637307
55.804283,37.636535
55.802035,37.636105
55.801165,37.635977
55.798252,37.635226
55.796862,37.634947
55.796886,37.635397
55.795073,37.63911
55.79361,37.641942
55.791253,37.646126
55.790334,37.648315
55.789645,37.65089
55.790552,37.650418
55.791193,37.649881
55.79355,37.648293
55.794263,37.648079
55.794662,37.648122
55.795702,37.648401
55.797587,37.648637
55.79818,37.648937
55.798458,37.64898
55.800452,37.65031
55.801757,37.651255
55.803341,37.652757
55.805214,37.654387
55.805951,37.655224
55.807329,37.656555
55.808888,37.658078
55.81041,37.659408
55.811618,37.660632
55.8136,37.66237
55.816367,37.664859
55.818215,37.666511
55.820039,37.668077
55.821658,37.669279
55.82382,37.670159
55.824412,37.670373
