Latitude,Longitude
55.887768,37.567312
55.887729,37.569034
55.887421,37.569968
55.887391,37.573336
55.887014,37.57854
55.886056,37.578738
55.885588,37.57964
55.885621,37.582059
55.88598,37.584253
55.885875,37.584387
55.88611,37.585734
55.886146,37.586592
55.887139,37.586706
55.887124,37.593165
55.886823,37.595418
55.886413,37.596877
55.885376,37.59898
55.882903,37.602735
55.881516,37.604066
55.880563,37.605332
55.880129,37.606147
55.879297,37.607263
55.878404,37.602864
55.875606,37.589882
55.874798,37.586234
55.872626,37.585977
55.869248,37.585011
55.870153,37.583316
55.869803,37.576621
55.870491,37.575634
55.871166,37.572888
55.87078,37.571107
55.875147,37.569261
55.877789,37.568188
55.879598,37.567931
55.881203,37.567931
55.88417,37.567652
55.886847,37.56733
55.887769,37.567309
