Latitude,Longitude
55.745412,37.574071
55.745484,37.576496
55.745884,37.579929
55.745521,37.581431
55.745394,37.582783
55.744002,37.583266
55.744056,37.58362
55.743754,37.583792
55.743953,37.585621
55.744105,37.587429
55.744867,37.586924
55.746277,37.585862
55.746816,37.587783
55.74687,37.588405
55.747088,37.590508
55.747336,37.592761
55.747657,37.595862
55.74707,37.599316
55.748891,37.599703
55.748698,37.60246
55.748595,37.602932
55.750392,37.604273
55.74917,37.608704
55.749369,37.609144
55.749914,37.609283
55.7511,37.609949
55.752365,37.610796
55.752691,37.611182
55.75366,37.611681
55.754579,37.612223
55.755432,37.609573
55.75614,37.607417
55.755578,37.606891
55.754815,37.606376
55.753974,37.606
55.754174,37.604273
55.754125,37.603844
55.753923,37.603055
55.75366,37.602374
55.753793,37.602288
55.75372,37.601505
55.75401,37.601365
55.754234,37.600196
55.754198,37.599177
55.754265,37.599059
55.754519,37.597664
55.755124,37.595363
55.755759,37.593051
55.756685,37.58951
55.756412,37.589199
55.756921,37.587997
55.757907,37.585401
55.757949,37.58436
55.755257,37.583867
55.75519,37.576764
55.753218,37.574865
55.752522,37.573803
55.752032,37.572162
55.750731,37.573792
55.7494,37.574243
55.747669,37.574436
55.746447,37.57435
55.745412,37.574071
