Latitude,Longitude
55.815148,37.519297
55.811832,37.516701
55.811766,37.516272
55.811567,37.516014
55.810662,37.515134
55.809221,37.513761
55.807593,37.512345
55.806014,37.510886
55.804778,37.515671
55.804603,37.516744
55.80286,37.523481
55.802034,37.526829
55.801214,37.530004
55.800937,37.530691
55.800316,37.532107
55.798913,37.535315
55.797442,37.538652
55.796206,37.541431
55.794746,37.544714
55.793329,37.547922
55.791911,37.551162
55.790509,37.554327
55.78926,37.557191
55.78822,37.559562
55.786911,37.562577
55.785508,37.56571
55.787535,37.568564
55.788416,37.569808
55.79119,37.573757
55.791649,37.574679
55.791468,37.570109
55.791577,37.569369
55.79246,37.566826
55.7936,37.563865
55.793859,37.563339
55.794315,37.562663
55.795774,37.560904
55.797216,37.559348
55.798757,37.557739
55.799266,37.557224
55.799942,37.55658
55.80087,37.555561
55.801335,37.555003
55.802378,37.553662
55.804579,37.550979
55.805788,37.54951
55.80675,37.548158
55.806891,37.548437
55.806888,37.548694
55.806843,37.548973
55.807045,37.549338
55.808579,37.546666
55.810044,37.544134
55.810907,37.542482
55.812161,37.540272
55.813508,37.537804
55.814072,37.536828
55.814488,37.535884
55.815024,37.534275
55.815295,37.533137
55.815398,37.532472
55.81553,37.531281
55.815561,37.530487
55.815552,37.528899
55.815449,37.525981
55.815301,37.522559
55.815154,37.519297
