Latitude,Longitude
55.879157,37.657211
55.876618,37.657259
55.874905,37.657345
55.874326,37.658396
55.873433,37.658697
55.872842,37.658311
55.872106,37.657195
55.87184,37.656143
55.87143,37.656208
55.871135,37.65492
55.870791,37.654105
55.870598,37.65256
55.870224,37.651423
55.869789,37.650929
55.86921,37.650586
55.868764,37.650007
55.868257,37.648934
55.867449,37.648354
55.867075,37.648547
55.866761,37.649019
55.865904,37.646616
55.865446,37.64505
55.86541,37.642196
55.865325,37.641681
55.864547,37.642035
55.864131,37.642496
55.863491,37.64447
55.863165,37.644921
55.86226,37.6455
55.861428,37.646144
55.860909,37.646917
55.857554,37.653032
55.857433,37.654727
55.856793,37.661186
55.85686,37.661969
55.856244,37.662688
55.853396,37.66699
55.851151,37.670574
55.850795,37.67096
55.850414,37.671217
55.850402,37.672033
55.851869,37.672151
55.852702,37.672301
55.854011,37.672719
55.854458,37.672923
55.85517,37.673342
55.855755,37.673814
55.856739,37.674854
55.857421,37.675659
55.858489,37.67715
55.85896,37.677848
55.859774,37.678942
55.860185,37.679436
55.861886,37.681624
55.862091,37.681195
55.862296,37.681335
55.862918,37.681335
55.864396,37.683502
55.867539,37.676979
55.867998,37.675284
55.87058,37.675949
55.871328,37.676421
55.876925,37.680712
55.879627,37.67921
55.881292,37.678266
55.882908,37.675606
55.883414,37.675112
55.88368,37.675112
55.883861,37.674082
55.883776,37.673352
55.883559,37.672945
55.883209,37.672837
55.882896,37.673803
55.882594,37.673224
55.882124,37.671915
55.881991,37.67022
55.881871,37.668975
55.882015,37.666529
55.882353,37.665263
55.882293,37.664726
55.881991,37.663825
55.882039,37.663182
55.881388,37.660542
55.880592,37.658418
55.879808,37.65756
55.879157,37.657216
