Latitude,Longitude
55.759725,37.628173
55.759803,37.628817
55.760198,37.63136
55.760929,37.631961
55.761409,37.632744
55.762151,37.634106
55.762453,37.634611
55.763681,37.635898
55.764937,37.637057
55.765097,37.637271
55.765378,37.638055
55.765646,37.638709
55.76682,37.640962
55.767759,37.643226
55.768468,37.644631
55.768555,37.644771
55.76848,37.645179
55.768525,37.646595
55.768634,37.64814
55.768824,37.650103
55.769138,37.652002
55.769518,37.653483
55.769569,37.655113
55.769648,37.658654
55.769705,37.661926
55.769729,37.663042
55.770716,37.663353
55.772155,37.663911
55.772738,37.664104
55.773187,37.66433
55.773317,37.664501
55.773631,37.665349
55.77396,37.666411
55.774461,37.667763
55.775987,37.670906
55.776784,37.672591
55.777345,37.673953
55.777963,37.675026
55.778407,37.676045
55.777538,37.678588
55.777097,37.679994
55.778054,37.681206
55.77901,37.682408
55.780341,37.684178
55.780823,37.684832
55.781095,37.684983
55.781562,37.685723
55.782431,37.686892
55.782214,37.688319
55.782141,37.691731
55.782081,37.696752
55.782081,37.699391
55.781972,37.700979
55.781659,37.702782
55.781067,37.705271
55.780645,37.706751
55.779957,37.708339
55.779191,37.709627
55.778232,37.710807
55.775263,37.713596
55.774352,37.711751
55.772542,37.708189
55.771268,37.705421
55.770779,37.704863
55.769971,37.702481
55.768558,37.700271
55.766748,37.69716
55.767611,37.695593
55.769494,37.692203
55.767997,37.689285
55.767261,37.688319
55.766017,37.687439
55.76417,37.685959
55.762589,37.685701
55.761315,37.685079
55.760217,37.684092
55.759595,37.682826
55.759075,37.680938
55.759015,37.679994
55.759142,37.676861
55.759365,37.673749
55.75919,37.672462
55.758762,37.671411
55.758037,37.670874
55.757276,37.670874
55.75648,37.671175
55.755447,37.671926
55.754511,37.672612
55.753847,37.672977
55.753328,37.673041
55.752857,37.672891
55.752392,37.672548
55.751963,37.672011
55.75069,37.670466
55.751154,37.669265
55.752042,37.667677
55.753111,37.666046
55.75264,37.664179
55.753769,37.663364
55.754122,37.662795
55.754201,37.662452
55.754466,37.66095
55.754774,37.658772
55.754822,37.657012
55.754786,37.656733
55.754545,37.65506
55.754379,37.654309
55.753995,37.653665
55.753748,37.653118
55.753443,37.65212
55.753162,37.6508
55.752963,37.649534
55.753011,37.647496
55.752939,37.646777
55.752761,37.644374
55.752697,37.643537
55.752709,37.642722
55.752954,37.64063
55.753102,37.639396
55.753123,37.639095
55.753588,37.637754
55.754192,37.636885
55.753899,37.63563
55.753757,37.635008
55.754457,37.634589
55.754844,37.634332
55.756377,37.63239
55.757132,37.631467
55.757898,37.630137
55.759118,37.62842
55.759649,37.627701
55.759716,37.628163
