Latitude,Longitude
55.862693,37.550153
55.864571,37.546463
55.867003,37.541699
55.869411,37.536377
55.871867,37.531099
55.873023,37.529468
55.874877,37.526636
55.87531,37.528953
55.876081,37.533717
55.877188,37.540154
55.87827,37.54625
55.877392,37.546677
55.877634,37.548351
55.87779,37.548995
55.878536,37.552814
55.879054,37.556033
55.878861,37.556548
55.878921,37.557578
55.877345,37.557621
55.87584,37.557599
55.875238,37.557621
55.874095,37.558178
55.871627,37.560174
55.86704,37.5638
55.863536,37.566547
55.863096,37.56438
55.86259,37.564165
55.861549,37.564723
55.861633,37.563843
55.861597,37.563285
55.860266,37.563607
55.859423,37.563586
55.859357,37.56498
55.859649,37.565099
55.85961,37.566794
55.859318,37.567094
55.859282,37.567845
55.858806,37.567813
55.857536,37.567405
55.856524,37.567008
55.8556,37.566654
55.85504,37.566483
55.854528,37.566708
55.854476,37.567952
55.854555,37.568703
55.85466,37.570517
55.854726,37.570806
55.854835,37.572695
55.854383,37.572619
55.85233,37.572813
55.851065,37.572973
55.849701,37.57336
55.848827,37.573606
55.848481,37.573789
55.848713,37.572523
55.848996,37.57086
55.849116,37.569969
55.849183,37.569358
55.84943,37.566944
55.849921,37.566686
55.850399,37.5663
55.85161,37.565324
55.852507,37.564541
55.85345,37.563757
55.854597,37.562792
55.855895,37.561697
55.856945,37.560775
55.85722,37.56041
55.858321,37.558414
55.859261,37.556612
55.860083,37.555046
55.860742,37.55379
55.861576,37.552235
55.862211,37.551001
55.862681,37.550153
