Latitude,Longitude
55.898489,37.637422
55.894704,37.637379
55.890182,37.626457
55.889338,37.62513
55.888916,37.623263
55.888542,37.622791
55.887939,37.623284
55.887637,37.623134
55.887306,37.62219
55.886649,37.621225
55.886142,37.620345
55.885744,37.620409
55.885563,37.619937
55.885626,37.619068
55.885204,37.618489
55.884855,37.618403
55.884432,37.61748
55.884059,37.617051
55.884059,37.616772
55.883805,37.616708
55.883781,37.616064
55.88348,37.615978
55.883094,37.615313
55.88313,37.614433
55.882949,37.614283
55.882346,37.614648
55.882129,37.614905
55.881864,37.614712
55.881574,37.615034
55.8812,37.615077
55.880983,37.616085
55.880923,37.616515
55.880525,37.616922
55.88032,37.616922
55.879705,37.609541
55.879282,37.607288
55.879885,37.606558
55.880573,37.605271
55.882008,37.603468
55.882949,37.602739
55.88518,37.599391
55.886314,37.597203
55.88682,37.595615
55.887098,37.59392
55.887158,37.593104
55.887158,37.586646
55.891391,37.586774
55.895816,37.586903
55.900264,37.587032
55.904616,37.587203
55.90781,37.587354
55.908745,37.587611
55.909781,37.588384
55.912487,37.590401
55.912342,37.590604
55.911944,37.590444
55.911294,37.59069
55.910281,37.591828
55.909546,37.592568
55.908925,37.59333
55.907708,37.5976
55.906653,37.601473
55.903965,37.611064
55.902157,37.618017
55.901253,37.622179
55.899891,37.629454
55.899348,37.632415
55.898818,37.63544
55.898486,37.637425
