Latitude,Longitude
55.604091,37.695452
55.603812,37.695677
55.603575,37.696021
55.603071,37.696031
55.602834,37.696224
55.602631,37.696069
55.602682,37.69704
55.602612,37.697249
55.602467,37.697609
55.601978,37.69925
55.601978,37.699443
55.602187,37.699947
55.602045,37.700216
55.60171,37.700173
55.601331,37.700827
55.601018,37.700897
55.600742,37.701637
55.600408,37.701895
55.600013,37.701369
55.599472,37.702077
55.599569,37.702324
55.599083,37.702517
55.599059,37.703429
55.598865,37.703654
55.598804,37.704105
55.598543,37.704094
55.598482,37.704759
55.598245,37.704877
55.598324,37.705188
55.598209,37.705446
55.5983,37.706047
55.598257,37.706862
55.598312,37.707077
55.598263,37.707377
55.598312,37.707517
55.598263,37.707817
55.598366,37.708203
55.598093,37.708933
55.598172,37.709233
55.598002,37.709823
55.597795,37.709931
55.597644,37.710939
55.597139,37.711765
55.597212,37.712151
55.597,37.712216
55.596143,37.714431
55.595116,37.716261
55.594758,37.717612
55.594041,37.719222
55.592437,37.720252
55.590882,37.722076
55.588208,37.72199
55.584579,37.712656
55.581565,37.704588
55.578429,37.696005
55.577019,37.692228
55.575949,37.69167
55.574368,37.691541
55.572764,37.691713
55.572399,37.690812
55.573274,37.689653
55.573858,37.687379
55.574052,37.685018
55.573712,37.682872
55.57308,37.680598
55.572229,37.676736
55.57184,37.673388
55.57167,37.6718
55.571572,37.667938
55.571718,37.664376
55.572375,37.664161
55.573858,37.663174
55.576386,37.661029
55.577067,37.660728
55.578295,37.660417
55.580519,37.660278
55.581929,37.659977
55.583181,37.659537
55.583455,37.65943
55.585411,37.658421
55.587514,37.65722
55.589483,37.656007
55.591433,37.654795
55.593438,37.653529
55.594383,37.652987
55.59534,37.652488
55.597217,37.651458
55.599209,37.650332
55.600625,37.649495
55.602046,37.64839
55.603777,37.646598
55.605557,37.644849
55.605909,37.644463
55.606492,37.644098
55.607051,37.643798
55.608266,37.64324
55.609237,37.642446
55.609565,37.642103
55.610464,37.640794
55.610683,37.641116
55.611266,37.642468
55.611836,37.643927
55.612772,37.648025
55.614253,37.655042
55.615243,37.659591
55.61616,37.663142
55.616542,37.664558
55.616998,37.666039
55.617581,37.667466
55.617994,37.668313
55.618431,37.669064
55.619153,37.670094
55.619949,37.671457
55.619402,37.672648
55.620252,37.673667
55.621515,37.67489
55.621758,37.675298
55.62194,37.675899
55.622001,37.67665
55.621758,37.679439
55.62021,37.679021
55.618807,37.678506
55.617678,37.678162
55.616123,37.678055
55.615358,37.676618
55.614605,37.676532
55.613731,37.67842
55.611739,37.679793
55.610093,37.680652
55.608709,37.684707
55.60795,37.686252
55.607415,37.687303
55.607458,37.687861
55.607318,37.688741
55.607567,37.688763
55.607367,37.689063
55.607427,37.689224
55.607294,37.689739
55.607348,37.690029
55.607251,37.690232
55.607336,37.690576
55.607106,37.690919
55.606978,37.691574
55.606207,37.691284
55.605508,37.691906
55.605232,37.692228
55.604093,37.695457
