Latitude,Longitude
55.610482,37.640708
55.609911,37.641631
55.609523,37.642146
55.608369,37.643176
55.607725,37.643519
55.606875,37.643884
55.606194,37.64427
55.605842,37.644571
55.603941,37.646416
55.60204,37.64839
55.600679,37.649463
55.59842,37.650783
55.59619,37.652027
55.59441,37.652982
55.593863,37.653272
55.592272,37.654248
55.590242,37.655546
55.588474,37.65664
55.587909,37.657016
55.586268,37.657928
55.585065,37.658604
55.584439,37.658936
55.583266,37.659516
55.581893,37.659999
55.580483,37.660288
55.578338,37.660406
55.577821,37.660503
55.577025,37.660696
55.576356,37.661029
55.574751,37.662445
55.573894,37.663164
55.572727,37.663904
55.57232,37.664161
55.57232,37.664161
55.571858,37.664236
55.571828,37.664236
55.572216,37.658089
55.572216,37.658089
55.572441,37.654259
55.572423,37.654344
55.572094,37.653078
55.572094,37.653078
55.572046,37.652542
55.572046,37.652542
55.572028,37.650772
55.572028,37.650772
55.572137,37.650622
55.572137,37.650622
55.572648,37.649946
55.572958,37.644023
55.572958,37.644023
55.573316,37.638348
55.573638,37.632619
55.573638,37.632619
55.573973,37.626589
55.573973,37.626589
55.574338,37.620946
55.574338,37.620946
55.574465,37.619175
55.574824,37.613103
55.574824,37.613103
55.575286,37.613167
55.575286,37.613167
55.576933,37.613382
55.576933,37.613382
55.57827,37.613575
55.57827,37.613575
55.580373,37.613779
55.580373,37.613779
55.582421,37.614036
55.582421,37.614036
55.584405,37.614272
55.584405,37.614272
55.586392,37.61454
55.586392,37.61454
55.588312,37.614798
55.588312,37.614798
55.589461,37.61498
55.590482,37.615238
55.590482,37.615238
55.591253,37.615603
55.591253,37.615603
55.592244,37.616225
55.592244,37.616225
55.593234,37.617051
55.593234,37.617051
55.59386,37.617695
55.59386,37.617695
55.594303,37.618274
55.594303,37.618274
55.594905,37.619186
55.594905,37.619186
55.595622,37.620398
55.595622,37.620398
55.597365,37.6244
55.597365,37.6244
55.598173,37.626278
55.598173,37.626278
55.598744,37.62734
55.598744,37.62734
55.599479,37.628402
55.599479,37.628402
55.599795,37.628788
55.599795,37.628788
55.601781,37.630827
55.603682,37.632801
55.603682,37.632801
55.60562,37.634882
55.60562,37.634882
55.607594,37.636835
55.607594,37.636835
55.608979,37.638262
55.608979,37.638262
55.609568,37.63911
55.609568,37.63911
55.610223,37.640204
55.610223,37.640204
55.610485,37.640708
