Latitude,Longitude
55.801359,37.698697
55.801443,37.69962
55.803667,37.707645
55.80293,37.708783
55.804368,37.711636
55.806543,37.724232
55.807879,37.726432
55.809812,37.729822
55.808773,37.731882
55.808283,37.732354
55.808459,37.735304
55.809027,37.735519
55.809002,37.739274
55.80902,37.746065
55.810428,37.745958
55.811927,37.745228
55.813171,37.744048
55.813799,37.743254
55.814464,37.74216
55.815624,37.739928
55.81717,37.737182
55.818463,37.734328
55.819055,37.732762
55.821338,37.726002
55.8235,37.719629
55.824932,37.715434
55.826363,37.711154
55.829793,37.701069
55.832849,37.691949
55.833513,37.690039
55.833899,37.689052
55.834346,37.687572
55.835674,37.682465
55.837534,37.675019
55.838717,37.670255
55.836556,37.670491
55.833863,37.670899
55.830626,37.671285
55.828247,37.671521
55.827571,37.671457
55.826339,37.671178
55.825699,37.670942
55.82443,37.670481
55.824225,37.671049
55.823235,37.672047
55.822492,37.672621
55.821628,37.673538
55.821489,37.674107
55.821187,37.674536
55.820577,37.67489
55.820317,37.675201
55.819441,37.67665
55.818982,37.677776
55.818837,37.678441
55.818366,37.679042
55.818215,37.679675
55.818058,37.681574
55.817901,37.682357
55.817339,37.683763
55.81691,37.684986
55.816753,37.68608
55.816784,37.686488
55.81714,37.687454
55.816941,37.687861
55.815932,37.685372
55.815515,37.685104
55.814715,37.68615
55.813962,37.687303
55.813618,37.688012
55.812857,37.68931
55.811437,37.691541
55.810573,37.693086
55.811256,37.694513
55.811002,37.694942
55.810791,37.695254
55.810718,37.695779
55.810767,37.696294
55.810785,37.697292
55.810658,37.6977
55.810174,37.698504
55.810042,37.69976
55.809667,37.700157
55.808453,37.700328
55.80809,37.700672
55.807262,37.701669
55.806453,37.701948
55.805921,37.702002
55.805045,37.701412
55.803141,37.69977
55.802301,37.699148
55.801359,37.698697
