Latitude,Longitude
55.630638,37.729006
55.630662,37.729972
55.63082,37.730165
55.631039,37.731152
55.631154,37.732686
55.631142,37.733062
55.631057,37.733244
55.630887,37.733191
55.630693,37.733352
55.630766,37.734274
55.630996,37.735186
55.630705,37.736399
55.63102,37.737053
55.631257,37.736935
55.631239,37.738029
55.631354,37.738351
55.631275,37.738909
55.631288,37.739403
55.631397,37.739564
55.631421,37.740379
55.631348,37.740497
55.631397,37.741312
55.631251,37.741699
55.631269,37.741892
55.631178,37.74231
55.631093,37.743501
55.631154,37.74422
55.631239,37.745153
55.630705,37.745658
55.630808,37.746205
55.630935,37.746505
55.631033,37.747417
55.630911,37.748436
55.630948,37.74922
55.630875,37.749788
55.63099,37.750196
55.631057,37.751151
55.630474,37.75129
55.627925,37.752749
55.626268,37.754595
55.624525,37.757384
55.623202,37.760013
55.622127,37.762159
55.620209,37.767469
55.619499,37.769379
55.619207,37.770752
55.619128,37.772061
55.619116,37.772426
55.619067,37.774872
55.618971,37.778552
55.61891,37.779303
55.6184,37.78117
55.617065,37.783724
55.616967,37.784818
55.617417,37.784968
55.617538,37.784045
55.618072,37.783659
55.619408,37.786084
55.62089,37.78926
55.623233,37.793658
55.626074,37.789667
55.631598,37.785719
55.636453,37.784346
55.642036,37.783917
55.645385,37.785719
55.648201,37.785204
55.648783,37.780998
55.647909,37.775763
55.646211,37.768982
55.642813,37.757052
55.640337,37.74761
55.6399,37.739885
55.640725,37.729157
55.638128,37.729071
55.636405,37.727891
55.634499,37.726925
55.63405,37.727526
55.633139,37.728255
55.632763,37.729092
55.632023,37.729757
55.631197,37.729543
55.630639,37.729006
