Latitude,Longitude
55.587155,37.547346
55.585588,37.545651
55.584871,37.545436
55.584117,37.545093
55.583983,37.54608
55.583558,37.547088
55.582804,37.549041
55.582197,37.549771
55.58148,37.549706
55.580848,37.550328
55.580216,37.551358
55.579194,37.548268
55.578368,37.545801
55.578295,37.545286
55.578526,37.544224
55.578404,37.543054
55.578781,37.541016
55.578976,37.540866
55.579219,37.540973
55.57962,37.538827
55.578988,37.538119
55.577371,37.536853
55.576763,37.539299
55.5759,37.538591
55.57573,37.53975
55.574411,37.53917
55.573238,37.539235
55.573177,37.53666
55.572277,37.537175
55.571925,37.539707
55.571135,37.541402
55.570527,37.54608
55.570904,37.547432
55.570417,37.549706
55.569688,37.549234
55.569262,37.548226
55.567767,37.553011
55.567329,37.553976
55.565797,37.554212
55.564095,37.55374
55.563401,37.553268
55.563474,37.550951
55.563122,37.550479
55.562149,37.551594
55.56176,37.553354
55.561565,37.554963
55.560142,37.554384
55.560081,37.556036
55.559814,37.556787
55.560288,37.558182
55.560288,37.558461
55.55968,37.558933
55.558877,37.559984
55.558123,37.560478
55.557272,37.560757
55.557017,37.560757
55.557041,37.560156
55.556007,37.559448
55.554414,37.559662
55.554098,37.561722
55.554219,37.563954
55.554122,37.564276
55.553933,37.564598
55.554037,37.567827
55.554402,37.569158
55.554189,37.570627
55.554,37.571829
55.55369,37.573749
55.553277,37.574275
55.552577,37.57493
55.552115,37.575498
55.551531,37.57597
55.551045,37.576485
55.550625,37.576378
55.549822,37.575874
55.549506,37.576464
55.549269,37.577118
55.551239,37.580101
55.553301,37.583202
55.555314,37.586195
55.556652,37.588223
55.557664,37.589741
55.558689,37.591173
55.559638,37.5926
55.560288,37.593684
55.561085,37.595229
55.561662,37.596516
55.562897,37.599906
55.563341,37.601087
55.563778,37.602117
55.564551,37.60364
55.566308,37.602213
55.566976,37.601666
55.566873,37.5982
55.56697,37.59775
55.567116,37.597374
55.568587,37.597331
55.569256,37.596956
55.571195,37.595497
55.57294,37.594091
55.57483,37.592675
55.575803,37.59186
55.576216,37.59127
55.576423,37.59083
55.576684,37.590014
55.577304,37.587171
55.577961,37.58435
55.579462,37.578175
55.58075,37.57265
55.581571,37.573712
55.58199,37.573755
55.582172,37.573551
55.582251,37.573283
55.582288,37.57295
55.582245,37.572596
55.582136,37.572081
55.581869,37.570783
55.581765,37.569592
55.583114,37.563874
55.584476,37.558284
55.585964,37.552104
55.587155,37.547351
