Latitude,Longitude
55.560203,37.554427
55.560081,37.556036
55.559814,37.556787
55.560288,37.558182
55.560288,37.558461
55.55968,37.558933
55.558877,37.559984
55.558123,37.560478
55.557272,37.560757
55.557017,37.560757
55.557041,37.560156
55.556007,37.559448
55.554414,37.559662
55.554098,37.561722
55.554219,37.563954
55.554122,37.564276
55.553933,37.564598
55.554037,37.567827
55.554402,37.569158
55.554189,37.570627
55.554,37.571829
55.55369,37.573749
55.553277,37.574275
55.552577,37.57493
55.552115,37.575498
55.551531,37.57597
55.551045,37.576485
55.550625,37.576378
55.549822,37.575874
55.549506,37.576464
55.549269,37.577118
55.551239,37.580101
55.553301,37.583202
55.555314,37.586195
55.556652,37.588223
55.555399,37.587842
55.55484,37.587702
55.553258,37.587541
55.551793,37.587391
55.550965,37.587305
55.549615,37.587016
55.548633,37.586705
55.547626,37.586265
55.545692,37.585428
55.543709,37.584848
55.541811,37.58428
55.540448,37.583861
55.538757,37.583368
55.537948,37.583218
55.537796,37.583497
55.537351,37.583786
55.534546,37.582874
55.532593,37.58222
55.530652,37.58178
55.528242,37.581244
55.527658,37.580986
55.527737,37.580321
55.526246,37.579881
55.524372,37.579269
55.521791,37.578422
55.521584,37.578883
55.519776,37.582295
55.518023,37.585514
55.517853,37.58561
55.517189,37.58576
55.515801,37.588282
55.515515,37.588775
55.514176,37.589634
55.51266,37.591683
55.511814,37.592895
55.511162,37.59444
55.509951,37.59606
55.508197,37.598892
55.507521,37.598442
55.506973,37.598195
55.506413,37.597873
55.505835,37.597369
55.505396,37.59679
55.504309,37.599171
55.503405,37.601703
55.502321,37.604858
55.502059,37.604193
55.501006,37.603227
55.50008,37.603205
55.499154,37.604193
55.498643,37.604343
55.498314,37.603334
55.496822,37.599987
55.49575,37.60033
55.492814,37.594301
55.494203,37.592541
55.493417,37.590374
55.492388,37.591318
55.491858,37.591425
55.490877,37.591318
55.492455,37.587284
55.494361,37.582552
55.496176,37.577993
55.497735,37.57412
55.498442,37.572392
55.498923,37.571856
55.499358,37.571545
55.499769,37.571405
55.501395,37.571888
55.50514,37.573068
55.509086,37.57427
55.512897,37.575471
55.517244,37.576823
55.516806,37.567189
55.517159,37.566288
55.520434,37.567081
55.520482,37.565472
55.518547,37.564828
55.518559,37.564185
55.516647,37.562554
55.515576,37.56103
55.514456,37.558928
55.513969,37.557919
55.513518,37.556503
55.513129,37.554851
55.512824,37.552941
55.512654,37.551181
55.512654,37.548649
55.512739,37.547061
55.512033,37.54704
55.510633,37.550323
55.509725,37.554024
55.509165,37.553735
55.505561,37.552362
55.505999,37.547984
55.504513,37.547469
55.504562,37.546847
55.50427,37.546729
55.504532,37.543854
55.504793,37.542115
55.503819,37.541161
55.504373,37.540131
55.505104,37.537212
55.505877,37.53409
55.50413,37.533098
55.504157,37.532781
55.504114,37.532406
55.50395,37.531827
55.503901,37.531387
55.503987,37.530872
55.50412,37.530566
55.504562,37.530147
55.504802,37.530072
55.505296,37.529965
55.506313,37.529944
55.50817,37.530244
55.508304,37.532358
55.508377,37.534192
55.508358,37.535158
55.50918,37.535415
55.509491,37.535426
55.510733,37.535887
55.511135,37.536081
55.512261,37.539235
55.513929,37.5402
55.515031,37.538473
55.515476,37.537958
55.515835,37.536477
55.516127,37.536392
55.516376,37.536392
55.517764,37.535008
55.518245,37.534257
55.518805,37.532669
55.519798,37.530974
55.520424,37.52974
55.521033,37.528259
55.521173,37.527573
55.521423,37.525738
55.52177,37.523281
55.522384,37.521393
55.522616,37.520223
55.523796,37.520127
55.524655,37.519708
55.525215,37.519322
55.525068,37.519054
55.525111,37.518678
55.525281,37.51855
55.525336,37.517402
55.525525,37.517058
55.52561,37.516468
55.525841,37.516565
55.525732,37.515749
55.526121,37.514204
55.526091,37.513507
55.526316,37.513325
55.526243,37.512209
55.526426,37.510385
55.526657,37.509612
55.526888,37.508153
55.5269,37.507048
55.526675,37.505804
55.526286,37.504688
55.526669,37.503422
55.526529,37.502413
55.526693,37.502124
55.527478,37.502252
55.527509,37.50163
55.526681,37.499366
55.526797,37.498133
55.526645,37.497993
55.526645,37.497596
55.527089,37.497081
55.527545,37.494689
55.528026,37.494453
55.528191,37.493905
55.528434,37.493873
55.528708,37.492618
55.529073,37.492318
55.528957,37.491652
55.529505,37.48955
55.529663,37.489206
55.529353,37.488187
55.529475,37.487876
55.529365,37.48749
55.529426,37.48705
55.529675,37.487125
55.52956,37.485741
55.529073,37.485226
55.528568,37.483402
55.527862,37.48308
55.52718,37.483187
55.526949,37.48293
55.526894,37.4822
55.526158,37.480473
55.526213,37.479314
55.526401,37.478907
55.526115,37.478392
55.526085,37.477383
55.526353,37.476739
55.527211,37.476686
55.528769,37.476954
55.5297,37.47734
55.529901,37.477426
55.530631,37.47734
55.530923,37.477168
55.532529,37.475387
55.532919,37.475162
55.533162,37.475087
55.53346,37.475076
55.533716,37.475109
55.534002,37.475227
55.534276,37.47542
55.534915,37.476053
55.53562,37.47675
55.53601,37.476986
55.53629,37.476514
55.536965,37.476203
55.537433,37.476235
55.537622,37.476621
55.537792,37.477211
55.538967,37.483005
55.53977,37.48661
55.539599,37.490451
55.539672,37.491052
55.540694,37.498283
55.541747,37.502875
55.542848,37.507209
55.544466,37.510353
55.546352,37.512252
55.548517,37.514269
55.551206,37.520213
55.553328,37.524955
55.555426,37.528881
55.554502,37.533044
55.552483,37.543108
55.552313,37.544073
55.552617,37.546713
55.553055,37.548472
55.553821,37.550833
55.554417,37.551755
55.555937,37.552775
55.558862,37.553901
55.5602,37.554427
