Latitude,Longitude
55.83493,37.576099
55.834145,37.575155
55.83336,37.574382
55.832805,37.573975
55.831525,37.573524
55.83016,37.573524
55.827141,37.573696
55.825703,37.57376
55.823251,37.573825
55.822212,37.573996
55.82121,37.574447
55.820606,37.574897
55.818081,37.576872
55.816764,37.577794
55.816136,37.578052
55.814698,37.578374
55.813296,37.578588
55.812257,37.578931
55.811472,37.579554
55.811001,37.580197
55.810312,37.581528
55.809261,37.583995
55.808644,37.584875
55.808572,37.582944
55.808258,37.580584
55.805611,37.582257
55.805043,37.582429
55.801103,37.583481
55.799979,37.583717
55.79616,37.584189
55.795108,37.584339
55.794491,37.584747
55.79205,37.58848
55.793041,37.589038
55.794141,37.589853
55.794878,37.590519
55.795966,37.591828
55.796873,37.593008
55.797719,37.59436
55.798154,37.595196
55.79865,37.596462
55.798819,37.596301
55.799792,37.596301
55.801025,37.596409
55.804348,37.595658
55.80517,37.595314
55.805218,37.595915
55.805533,37.596881
55.805907,37.598512
55.806258,37.59864
55.806693,37.60158
55.80807,37.606365
55.808372,37.606065
55.808971,37.608146
55.81027,37.611901
55.810874,37.613232
55.81265,37.610506
55.815743,37.605786
55.817012,37.603769
55.817906,37.602481
55.819259,37.600443
55.822279,37.595786
55.823946,37.593212
55.825842,37.590143
55.827932,37.586882
55.829635,37.584307
55.831398,37.581496
55.833705,37.577998
55.83493,37.576099
