Latitude,Longitude
55.73436,37.767662
55.735358,37.772791
55.735728,37.774636
55.736587,37.779067
55.737416,37.783423
55.737979,37.786352
55.738518,37.789506
55.738905,37.791341
55.73922,37.793025
55.739704,37.795525
55.740013,37.797049
55.740836,37.801254
55.742077,37.807413
55.743106,37.812584
55.74362,37.81517
55.744074,37.817401
55.745055,37.822455
55.74595,37.827068
55.7471,37.83298
55.747838,37.836874
55.749,37.842646
55.748068,37.842555
55.74704,37.842528
55.74704,37.841992
55.743772,37.841885
55.741097,37.841648
55.736811,37.841112
55.732671,37.84064
55.728271,37.840125
55.7237,37.839546
55.719412,37.839031
55.716929,37.838795
55.715331,37.838537
55.713417,37.837936
55.709794,37.83607
55.710945,37.832572
55.712781,37.827197
55.714616,37.82165
55.718238,37.810728
55.720902,37.802746
55.723252,37.795836
55.726691,37.785623
55.729258,37.778327
55.730227,37.775816
55.731559,37.773134
55.733738,37.768993
55.734362,37.767662
