Latitude,Longitude
55.616257,37.287472
55.616876,37.288663
55.616542,37.289392
55.616761,37.289746
55.61551,37.292568
55.614417,37.294017
55.615219,37.295379
55.61698,37.296044
55.61817,37.297149
55.618886,37.298566
55.618619,37.299917
55.618364,37.300389
55.618206,37.3026
55.61789,37.305496
55.61715,37.307621
55.616542,37.30702
55.615862,37.308458
55.616008,37.308951
55.615729,37.309294
55.615595,37.308994
55.615437,37.309874
55.615134,37.309938
55.615231,37.310646
55.614684,37.310775
55.614757,37.312062
55.614952,37.312534
55.614794,37.313049
55.614466,37.312813
55.614186,37.313436
55.613725,37.313522
55.613846,37.313994
55.613215,37.315056
55.613197,37.315388
55.61299,37.315442
55.612899,37.31483
55.61268,37.314745
55.612389,37.315453
55.612198,37.315351
55.611581,37.314519
55.610652,37.314691
55.610452,37.31467
55.610239,37.314358
55.609468,37.312771
55.608757,37.311977
55.608557,37.312352
55.607992,37.311537
55.6086,37.309831
55.60744,37.308586
55.606589,37.307438
55.605794,37.30702
55.60563,37.306795
55.605126,37.307953
55.604713,37.3079
55.604366,37.308329
55.60409,37.309627
55.60416,37.310764
55.604044,37.311226
55.603759,37.311344
55.60266,37.310185
55.601961,37.310206
55.601572,37.309799
55.601305,37.310206
55.601335,37.311301
55.60125,37.31202
55.60108,37.31306
55.600849,37.313361
55.600509,37.312792
55.600023,37.313028
55.599489,37.313543
55.598985,37.315131
55.598784,37.314369
55.597697,37.309949
55.596154,37.303946
55.594434,37.297353
55.592849,37.291291
55.591263,37.285101
55.589513,37.278218
55.587915,37.271974
55.586366,37.26573
55.58484,37.259582
55.584105,37.256568
55.583771,37.254475
55.583643,37.252662
55.583509,37.251428
55.58326,37.250077
55.58292,37.248714
55.584852,37.242266
55.585679,37.240335
55.585606,37.239037
55.585144,37.236537
55.586596,37.235979
55.586906,37.237266
55.588675,37.241215
55.589434,37.24262
55.590145,37.24247
55.590601,37.240474
55.592047,37.239509
55.593875,37.237202
55.59554,37.240013
55.596372,37.241494
55.596956,37.242202
55.598869,37.243736
55.600849,37.245216
55.602046,37.246139
55.602228,37.246729
55.60286,37.248188
55.603231,37.248746
55.603747,37.249272
55.604664,37.249862
55.607276,37.250881
55.609462,37.255194
55.614101,37.248542
55.615583,37.248306
55.615547,37.250044
55.61568,37.250452
55.61687,37.250752
55.615692,37.252169
55.616785,37.254787
55.617866,37.261632
55.617441,37.261546
55.616876,37.261771
55.615316,37.26279
55.614593,37.26337
55.615182,37.265065
55.616615,37.268176
55.617052,37.269142
55.617435,37.269764
55.618777,37.271545
55.619062,37.272038
55.619384,37.272843
55.619627,37.27368
55.618865,37.274941
55.618164,37.27618
55.616378,37.279173
55.617654,37.280225
55.618091,37.281126
55.618643,37.281544
55.61891,37.28193
55.619341,37.282134
55.619141,37.283164
55.615304,37.281061
55.614417,37.282671
55.614715,37.282993
55.615012,37.283711
55.614897,37.283915
55.615668,37.28531
55.615553,37.28561
55.616354,37.287177
55.616257,37.287477
55.607203,37.186084
55.605781,37.183402
55.603437,37.186642
55.602404,37.183617
55.601384,37.184668
55.601985,37.186396
55.601639,37.186803
55.602538,37.189625
55.601791,37.190591
55.601888,37.19147
55.601439,37.192157
55.601964,37.193713
55.602708,37.195268
55.601463,37.197586
55.599379,37.20147
55.597709,37.204613
55.5976,37.205021
55.597575,37.205879
55.597612,37.20633
55.597569,37.206845
55.597454,37.207478
55.59715,37.207596
55.597138,37.208218
55.597205,37.208379
55.59712,37.208669
55.597442,37.20898
55.59749,37.209366
55.597369,37.210042
55.597436,37.210246
55.597593,37.210235
55.597521,37.210439
55.597612,37.210621
55.597618,37.211008
55.597958,37.211866
55.598219,37.21148
55.598329,37.21163
55.598243,37.211887
55.598377,37.212241
55.598432,37.213175
55.598517,37.213228
55.598626,37.2137
55.598565,37.21413
55.598626,37.214409
55.598778,37.214462
55.599039,37.215299
55.599355,37.215514
55.599209,37.215793
55.599628,37.216383
55.599859,37.216747
55.599914,37.217059
55.600133,37.216855
55.600285,37.217026
55.600357,37.21737
55.600758,37.21767
55.600947,37.218582
55.601123,37.218464
55.601439,37.219355
55.60187,37.219794
55.602325,37.219955
55.602635,37.220556
55.603079,37.22091
55.602994,37.221136
55.603036,37.221801
55.603158,37.221887
55.60348,37.223045
55.603656,37.223088
55.603686,37.223474
55.603826,37.223603
55.603735,37.223753
55.603832,37.224065
55.603838,37.224537
55.603996,37.224869
55.603965,37.225341
55.604488,37.226092
55.604968,37.2262
55.605265,37.226908
55.605423,37.227433
55.605478,37.227895
55.605611,37.228141
55.605763,37.22812
55.605921,37.228259
55.605964,37.22856
55.606276,37.228635
55.606529,37.229171
55.606972,37.229751
55.608733,37.230534
55.610519,37.230427
55.611211,37.230791
55.611697,37.231264
55.614672,37.226865
55.616712,37.223968
55.618157,37.218153
55.621242,37.216286
55.621812,37.21693
55.622893,37.213904
55.621047,37.212145
55.6197,37.210192
55.618765,37.208325
55.617672,37.204999
55.617028,37.202982
55.616494,37.201695
55.615753,37.200365
55.614806,37.199206
55.613324,37.197596
55.612158,37.196373
55.611369,37.195086
55.609013,37.189872
55.607749,37.186846
55.607203,37.186084
