Latitude,Longitude
55.83718,37.50447
55.83817,37.49949
55.83924,37.49424
55.83931,37.49363
55.8393,37.48677
55.83929,37.48139
55.84127,37.47992
55.8405,37.47649
55.832601,37.477626
55.831324,37.478055
55.830383,37.477111
55.82942,37.474837
55.826768,37.477798
55.826563,37.478399
55.826683,37.479128
55.826985,37.480201
55.826865,37.482991
55.826455,37.485651
55.826491,37.488355
55.827106,37.490758
55.826635,37.490758
55.824334,37.492625
55.823671,37.491402
55.823056,37.490351
55.822097,37.489278
55.821097,37.488205
55.819994,37.487368
55.818927,37.486832
55.817963,37.486574
55.817282,37.486445
55.816082,37.486488
55.815353,37.486617
55.815262,37.489095
55.814846,37.501358
55.814738,37.510156
55.81519,37.520306
55.815371,37.520585
55.816106,37.520531
55.817481,37.521969
55.818668,37.523213
55.819141,37.521185
55.819295,37.520102
55.819409,37.519705
55.819277,37.51905
55.819427,37.518364
55.819958,37.51875
55.821034,37.519522
55.821242,37.519522
55.822278,37.518653
55.822775,37.518095
55.825518,37.51581
55.826319,37.515263
55.827446,37.514373
55.827642,37.514952
55.827889,37.514748
55.828187,37.514265
55.829971,37.51125
55.830411,37.510864
55.831598,37.508676
55.831984,37.507957
55.832188,37.507957
55.83268,37.508729
55.832897,37.508869
55.833261,37.508686
55.833981,37.507946
55.834864,37.50742
55.835421,37.507023
55.836002,37.506401
55.83718,37.504899
55.83718,37.50447
