Latitude,Longitude
55.813224,37.845951
55.813756,37.846037
55.814118,37.846594
55.816631,37.852495
55.817972,37.857259
55.818395,37.857323
55.81892,37.858385
55.819603,37.857752
55.819965,37.859104
55.8195,37.859426
55.819416,37.859952
55.819754,37.861379
55.820165,37.862645
55.820956,37.866293
55.821645,37.86949
55.823686,37.867612
55.824507,37.871389
55.825196,37.873277
55.825377,37.875702
55.824882,37.876217
55.824725,37.87568
55.824689,37.874586
55.82394,37.872075
55.823771,37.87199
55.823155,37.869222
55.8222,37.869758
55.822611,37.87229
55.820835,37.873331
55.820014,37.873835
55.820648,37.878395
55.819851,37.879167
55.819597,37.879897
55.819531,37.880873
55.819905,37.8826
55.820352,37.883974
55.819633,37.884371
55.82072,37.885487
55.820545,37.886967
55.820726,37.887943
55.819241,37.889145
55.818933,37.890733
55.818576,37.892954
55.817948,37.896859
55.817682,37.89776
55.81732,37.898511
55.816782,37.899005
55.816178,37.899252
55.815356,37.899316
55.814843,37.899144
55.814336,37.898372
55.814027,37.896645
55.813991,37.894649
55.814124,37.893694
55.814493,37.892643
55.815066,37.891602
55.816087,37.889606
55.816142,37.88804
55.816637,37.887327
55.817253,37.886704
55.817157,37.886146
55.817712,37.885567
55.817797,37.884773
55.817314,37.884451
55.81654,37.88355
55.815356,37.881769
55.814305,37.881426
55.814257,37.880675
55.814148,37.879924
55.813719,37.879913
55.813399,37.879838
55.812813,37.879612
55.812161,37.87884
55.811514,37.877102
55.810638,37.873583
55.808669,37.873465
55.807714,37.869892
55.806862,37.870729
55.805726,37.866159
55.806499,37.865247
55.806548,37.864957
55.806342,37.864184
55.809351,37.861717
55.809333,37.860172
55.808632,37.860086
55.806379,37.85632
55.806971,37.855794
55.807339,37.855301
55.809714,37.850934
55.812019,37.847662
55.813221,37.845956
