Latitude,Longitude
55.709805,37.836048
55.709714,37.836005
55.709362,37.837089
55.707727,37.841895
55.706164,37.846358
55.704389,37.851766
55.703068,37.855027
55.701493,37.858396
55.700245,37.856615
55.69999,37.857001
55.699118,37.855575
55.697439,37.858568
55.696209,37.860531
55.694598,37.86287
55.693664,37.864233
55.692489,37.862291
55.691337,37.860274
55.691125,37.860091
55.690768,37.859952
55.689119,37.862881
55.688416,37.864018
55.687925,37.864447
55.687416,37.864597
55.687113,37.86449
55.685373,37.863546
55.683155,37.862291
55.681112,37.861121
55.678954,37.859898
55.67716,37.858879
55.676947,37.858643
55.676014,37.85728
55.675741,37.856626
55.676369,37.855247
55.676843,37.854365
55.677778,37.852377
55.679469,37.848708
55.681276,37.844502
55.683325,37.839267
55.684489,37.836348
55.684682,37.835415
55.684689,37.834557
55.684501,37.83357
55.684301,37.833194
55.683713,37.832626
55.683058,37.832454
55.680167,37.833806
55.67996,37.828119
55.680421,37.827883
55.680579,37.827089
55.678991,37.823721
55.679033,37.823313
55.678409,37.822079
55.680603,37.817991
55.679451,37.815985
55.679015,37.814966
55.678772,37.814692
55.678445,37.814204
55.677596,37.812573
55.675893,37.809655
55.678621,37.804489
55.679154,37.8034
55.67933,37.802359
55.680591,37.802177
55.680979,37.802649
55.686761,37.804967
55.687913,37.805138
55.688095,37.804731
55.688737,37.801662
55.688955,37.799366
55.688955,37.798551
55.68858,37.796577
55.688458,37.795804
55.688107,37.795096
55.688022,37.793873
55.687404,37.792199
55.687064,37.791148
55.687646,37.789453
55.688555,37.787736
55.689271,37.787285
55.69018,37.787564
55.690446,37.78765
55.690337,37.789453
55.694095,37.790547
55.696773,37.791341
55.701729,37.792757
55.705582,37.794002
55.708211,37.794731
55.715819,37.797049
55.718139,37.797703
55.720458,37.798508
55.72087,37.800482
55.721548,37.800825
55.719737,37.806233
55.717799,37.812058
55.715861,37.817863
55.714008,37.82356
55.712137,37.829074
55.71018,37.834879
55.709805,37.836048
