Latitude,Longitude
55.689943,37.530094
55.68881,37.531993
55.686786,37.535501
55.685289,37.53813
55.684337,37.539954
55.682882,37.543044
55.680785,37.547485
55.682458,37.549899
55.683731,37.551809
55.684022,37.552206
55.684573,37.55286
55.68558,37.554073
55.686434,37.555103
55.687695,37.556616
55.689465,37.558804
55.690901,37.560585
55.691592,37.561433
55.691967,37.562055
55.69364,37.564984
55.695494,37.568246
55.697403,37.571604
55.699275,37.574897
55.701111,37.578105
55.701681,37.5792
55.703159,37.581764
55.704934,37.584897
55.706461,37.587611
55.70809,37.586077
55.709302,37.584392
55.710098,37.583545
55.711622,37.581152
55.713015,37.579328
55.713772,37.578363
55.714281,37.577655
55.713299,37.575198
55.712028,37.571228
55.711155,37.567344
55.710598,37.564018
55.710392,37.561551
55.710386,37.559351
55.706443,37.553987
55.704571,37.551444
55.702626,37.548805
55.700917,37.546541
55.700433,37.545876
55.698415,37.543172
55.696797,37.54093
55.694725,37.53814
55.693464,37.536435
55.691634,37.533087
55.690719,37.531435
55.689943,37.530094
