Latitude,Longitude
55.867545,37.514641
55.866263,37.517709
55.864252,37.522473
55.862566,37.526314
55.860525,37.531034
55.857906,37.537386
55.855304,37.543544
55.854251,37.545754
55.851974,37.549424
55.850384,37.551934
55.848349,37.555088
55.847662,37.552964
55.846987,37.550733
55.846638,37.549531
55.845915,37.545905
55.845234,37.542428
55.844114,37.537193
55.842735,37.530691
55.842045,37.527376
55.841533,37.525005
55.84115,37.523546
55.840988,37.523074
55.841669,37.522323
55.841165,37.520853
55.841175,37.520338
55.841313,37.519276
55.841286,37.518868
55.841036,37.517967
55.840783,37.517452
55.839702,37.516486
55.838129,37.515102
55.83797,37.514855
55.837879,37.514469
55.837641,37.511111
55.837379,37.507581
55.837183,37.504856
55.83718,37.50447
55.838168,37.499492
55.839241,37.494235
55.839307,37.493634
55.839295,37.486767
55.839289,37.481392
55.841265,37.479922
55.8405,37.476489
55.839687,37.472004
55.842458,37.471103
55.847277,37.464022
55.848469,37.469966
55.84933,37.474322
55.849755,37.474032
55.849891,37.474644
55.850149,37.476038
55.850309,37.477111
55.850387,37.47798
55.850481,37.479965
55.850487,37.481467
55.850318,37.484514
55.850336,37.486338
55.850469,37.489192
55.850673,37.491188
55.850896,37.492153
55.851432,37.493784
55.852023,37.495329
55.85251,37.496767
55.852998,37.498011
55.853606,37.499814
55.854118,37.501058
55.856304,37.507152
55.857201,37.509641
55.857683,37.5111
55.861019,37.506701
55.862217,37.505049
55.862976,37.506659
55.863885,37.508354
55.864126,37.509212
55.864415,37.509984
55.864673,37.510499
55.865342,37.511444
55.867545,37.514641
