Latitude,Longitude
55.809877,37.746033
55.810656,37.746977
55.811847,37.750711
55.812777,37.7535
55.814758,37.758886
55.815628,37.760968
55.816704,37.763049
55.817513,37.764873
55.818479,37.767276
55.819204,37.771825
55.820533,37.777876
55.821765,37.782168
55.822804,37.78249
55.824797,37.782683
55.824761,37.781395
55.826754,37.781438
55.848368,37.779893
55.855647,37.779207
55.852183,37.785751
55.849044,37.791802
55.845616,37.798411
55.839579,37.810213
55.835015,37.819011
55.830631,37.827444
55.830522,37.827808
55.830534,37.828988
55.829949,37.830083
55.829441,37.830018
55.829061,37.830094
55.827986,37.831692
55.826839,37.833259
55.825244,37.835018
55.823692,37.836284
55.822412,37.837142
55.820237,37.838205
55.818975,37.838505
55.817229,37.838752
55.816347,37.838966
55.815864,37.839631
55.815344,37.841134
55.815091,37.841992
55.815151,37.843644
55.815211,37.844223
55.81468,37.842914
55.814221,37.841155
55.813882,37.838816
55.813351,37.83416
55.813302,37.83255
55.81288,37.828988
55.811816,37.820963
55.81062,37.811651
55.81033,37.802874
55.810209,37.798583
55.809895,37.787446
55.809786,37.782962
55.809472,37.779679
55.809243,37.77837
55.808735,37.776353
55.805883,37.765667
55.802596,37.753157
55.801387,37.746527
55.802463,37.746655
55.803333,37.746784
55.805847,37.746763
55.806802,37.746677
55.80801,37.746205
55.808735,37.746097
55.809877,37.746033
