Latitude,Longitude
55.728893,37.654291
55.728009,37.65222
55.72951,37.645976
55.728481,37.645225
55.727985,37.64486
55.727276,37.644764
55.727173,37.644817
55.726096,37.644592
55.725284,37.644345
55.724588,37.644206
55.722989,37.643884
55.722335,37.643744
55.722347,37.643401
55.722281,37.642478
55.722166,37.641931
55.722214,37.641609
55.722505,37.641116
55.722947,37.639614
55.72351,37.636417
55.723377,37.636374
55.721996,37.635773
55.722584,37.633037
55.722208,37.631567
55.721612,37.629014
55.7213,37.627608
55.721342,37.62734
55.720882,37.62233
55.720276,37.617738
55.719859,37.613693
55.716649,37.613586
55.716709,37.608221
55.712688,37.606719
55.711307,37.606247
55.710822,37.606183
55.710107,37.60629
55.708969,37.606698
55.707491,37.607492
55.707624,37.608103
55.706097,37.609605
55.704304,37.611322
55.70448,37.612245
55.705037,37.615967
55.705128,37.616558
55.70534,37.61703
55.705485,37.617287
55.704365,37.617566
55.704958,37.618467
55.705443,37.619368
55.70571,37.620077
55.705903,37.621257
55.705903,37.622373
55.705794,37.62396
55.705334,37.628467
55.702729,37.627887
55.701323,37.627501
55.695943,37.627801
55.693204,37.628488
55.689083,37.630162
55.686271,37.632136
55.68484,37.634324
55.684355,37.637543
55.684476,37.64265
55.684986,37.649474
55.685543,37.655911
55.685907,37.660803
55.686295,37.665224
55.690137,37.665781
55.694004,37.666382
55.698112,37.666919
55.701723,37.667391
55.704692,37.667756
55.70537,37.667734
55.708423,37.66679
55.712203,37.665567
55.716104,37.664408
55.717824,37.663818
55.718696,37.663571
55.722226,37.663614
55.724218,37.663582
55.725211,37.663539
55.726786,37.663067
55.726719,37.656447
55.727652,37.655771
55.728318,37.655063
55.728893,37.654291
