Latitude,Longitude
55.89769,37.55219
55.89737,37.55163
55.89684,37.55138
55.8964,37.5514
55.89286,37.55148
55.89264,37.55183
55.89235,37.55219
55.89205,37.55278
55.89199,37.55309
55.88731,37.55316
55.88732,37.55241
55.88726,37.54842
55.88732,37.54822
55.88719,37.54301
55.88595,37.54307
55.88436,37.54324
55.88341,37.54337
55.88308,37.5435
55.8822,37.54389
55.8815,37.5443
55.87982,37.54537
55.87827,37.54625
55.877392,37.546677
55.877634,37.548351
55.87779,37.548995
55.878536,37.552814
55.879054,37.556033
55.878861,37.556548
55.878921,37.557578
55.877345,37.557621
55.87584,37.557599
55.875238,37.557621
55.874095,37.558178
55.871627,37.560174
55.86704,37.5638
55.863536,37.566547
55.863096,37.56438
55.86259,37.564165
55.861549,37.564723
55.861633,37.563843
55.861597,37.563285
55.860266,37.563607
55.859423,37.563586
55.859357,37.56498
55.859649,37.565099
55.85961,37.566794
55.859318,37.567094
55.859282,37.567845
55.858806,37.567813
55.857536,37.567405
55.856524,37.567008
55.8556,37.566654
55.85504,37.566483
55.854528,37.566708
55.854476,37.567952
55.854555,37.568703
55.85466,37.570517
55.854726,37.570806
55.854835,37.572695
55.855843,37.572984
55.856813,37.573381
55.857981,37.573832
55.85911,37.574207
55.860251,37.57454
55.862139,37.574636
55.862982,37.574422
55.864246,37.573843
55.865173,37.573521
55.867358,37.572576
55.869369,37.571675
55.87144,37.570817
55.874167,37.569658
55.876947,37.568521
55.878229,37.56807
55.880444,37.567899
55.8832,37.567749
55.886281,37.567341
55.887653,37.567298
55.890348,37.566933
55.891564,37.566268
55.892737,37.564895
55.893519,37.563436
55.895336,37.558672
55.896665,37.555046
55.897694,37.552192
