Latitude,Longitude
55.87281,37.52976
55.87307,37.52937
55.87428,37.52755
55.87504,37.52639
55.87525,37.52615
55.87619,37.52518
55.87839,37.52295
55.88299,37.51822
55.88545,37.51561
55.88736,37.5137
55.88933,37.51168
55.88847,37.50994
55.88795,37.50891
55.88702,37.50737
55.88619,37.50617
55.8876,37.50419
55.88885,37.50243
55.88942,37.50149
55.89049,37.49923
55.8912,37.49782
55.89204,37.49645
55.892496,37.496166
55.892809,37.495522
55.892833,37.494835
55.892556,37.494149
55.892003,37.493591
55.891281,37.492947
55.890679,37.492175
55.889969,37.490758
55.889488,37.489471
55.888959,37.488098
55.888501,37.486467
55.888441,37.485888
55.888537,37.485394
55.888808,37.4849
55.889404,37.484557
55.890168,37.484257
55.890709,37.483978
55.890685,37.483506
55.890186,37.483441
55.889037,37.483034
55.888465,37.482669
55.888201,37.482197
55.885878,37.47621
55.885324,37.474408
55.88509,37.473421
55.883086,37.47812
55.881467,37.482025
55.879938,37.485501
55.877555,37.491102
55.875376,37.496337
55.874786,37.497754
55.873324,37.501015
55.871669,37.50492
55.869983,37.508933
55.868147,37.513267
55.866263,37.517709
55.864252,37.522473
55.862566,37.526314
55.860525,37.531034
55.857906,37.537386
55.855304,37.543544
55.854251,37.545754
55.851974,37.549424
55.850384,37.551934
55.848349,37.555088
55.84883,37.556591
55.84915,37.557942
55.849475,37.559638
55.849613,37.560635
55.84971,37.562363
55.849713,37.563253
55.849632,37.564659
55.849424,37.566955
55.849975,37.566643
55.851285,37.565592
55.852474,37.564573
55.853091,37.564069
55.853983,37.563307
55.854859,37.562566
55.855874,37.56173
55.857,37.56071
55.857259,37.560367
55.858138,37.558758
55.859776,37.555636
55.861916,37.551569
55.862789,37.549896
55.863662,37.548608
55.863909,37.54775
55.864872,37.545926
55.866961,37.541635
55.869477,37.536313
55.870946,37.533116
55.871392,37.532043
55.87194,37.530949
55.872806,37.529768
