Latitude,Longitude
55.907239,37.536592
55.90563,37.537407
55.904436,37.538137
55.903829,37.538673
55.9028,37.539854
55.90176,37.541484
55.901177,37.542718
55.899499,37.547364
55.897694,37.552192
55.897369,37.551634
55.89684,37.551376
55.8964,37.551398
55.892863,37.551484
55.892641,37.551827
55.892352,37.552192
55.892045,37.552782
55.891991,37.553093
55.88731,37.553157
55.887322,37.552406
55.887262,37.548415
55.887322,37.548222
55.88719,37.543008
55.88595,37.543072
55.884362,37.543244
55.883411,37.543373
55.88308,37.543501
55.882201,37.543888
55.881503,37.544295
55.879824,37.545368
55.878271,37.546248
55.878115,37.545347
55.877513,37.541999
55.876911,37.538437
55.876099,37.533738
55.875467,37.533953
55.875226,37.534081
55.874757,37.532021
55.874504,37.530895
55.873396,37.5317
55.873252,37.531313
55.873029,37.530316
55.872812,37.529758
55.873065,37.529371
55.874275,37.527548
55.875042,37.526389
55.875247,37.526153
55.876192,37.525177
55.878392,37.522945
55.88299,37.518224
55.885445,37.515606
55.887358,37.513697
55.889332,37.51168
55.888465,37.509942
55.887948,37.508912
55.887015,37.507367
55.886191,37.506165
55.887599,37.504191
55.88885,37.502431
55.889416,37.501487
55.890487,37.499234
55.891203,37.497818
55.892039,37.496445
55.89225,37.496273
55.892605,37.49711
55.893068,37.498129
55.89453,37.501434
55.895354,37.50329
55.896268,37.505382
55.897471,37.508107
55.898747,37.510972
55.899877,37.513525
55.900786,37.515585
55.901369,37.516915
55.902831,37.520231
55.903399,37.521529
55.904268,37.523535
55.904506,37.5242
55.905146,37.526088
55.905438,37.527086
55.90594,37.52891
55.906385,37.530841
55.906761,37.533051
55.907092,37.535229
55.907239,37.536603
