Latitude,Longitude
55.720082,37.615657
55.719859,37.613693
55.716649,37.613586
55.716709,37.608221
55.712688,37.606719
55.711307,37.606247
55.710822,37.606183
55.710107,37.60629
55.708969,37.606698
55.707491,37.607492
55.707624,37.608103
55.706097,37.609605
55.704304,37.611322
55.70448,37.612245
55.705037,37.615967
55.705128,37.616558
55.70534,37.61703
55.705485,37.617287
55.704365,37.617566
55.704958,37.618467
55.705443,37.619368
55.70571,37.620077
55.705903,37.621257
55.705903,37.622373
55.705794,37.62396
55.705334,37.628467
55.702729,37.627887
55.701323,37.627501
55.695943,37.627801
55.693204,37.628488
55.691749,37.629089
55.691355,37.625452
55.690725,37.621933
55.689707,37.616869
55.689343,37.614787
55.689186,37.612942
55.689186,37.611118
55.689283,37.609466
55.689568,37.607352
55.689943,37.605416
55.690307,37.60379
55.691204,37.601966
55.69171,37.60114
55.692628,37.599842
55.693343,37.598909
55.693792,37.598351
55.694937,37.597128
55.695107,37.596902
55.69687,37.59525
55.698742,37.59348
55.69939,37.592868
55.700524,37.591967
55.701693,37.590905
55.70302,37.589714
55.704274,37.588995
55.704637,37.588705
55.705419,37.588223
55.706043,37.587686
55.708072,37.585991
55.710883,37.58215
55.711052,37.582665
55.710968,37.583588
55.711161,37.584811
55.71121,37.585347
55.711149,37.585669
55.713142,37.588255
55.713269,37.587965
55.713723,37.588555
55.713929,37.587987
55.715056,37.589542
55.715195,37.589489
55.715413,37.589714
55.716013,37.589242
55.716673,37.589489
55.71717,37.590315
55.717709,37.590486
55.719029,37.592557
55.718163,37.594671
55.719955,37.597267
55.720131,37.596892
55.720288,37.597128
55.71984,37.598179
55.721257,37.60026
55.721142,37.600797
55.72027,37.605271
55.719513,37.609273
55.721421,37.610056
55.720997,37.61438
55.720077,37.615656
