Latitude,Longitude
55.613002,37.73038
55.614447,37.729629
55.616147,37.728781
55.617568,37.728191
55.61959,37.72773
55.621496,37.727687
55.623081,37.72788
55.623093,37.729082
55.624355,37.72921
55.624374,37.728577
55.62597,37.728642
55.626055,37.727419
55.626632,37.727483
55.626802,37.727301
55.627919,37.727912
55.629005,37.728502
55.629436,37.728985
55.629819,37.727955
55.629934,37.72818
55.630292,37.728577
55.630638,37.729006
55.630662,37.729972
55.63082,37.730165
55.631039,37.731152
55.631154,37.732686
55.631142,37.733062
55.631057,37.733244
55.630887,37.733191
55.630693,37.733352
55.630766,37.734274
55.630996,37.735186
55.630705,37.736399
55.63102,37.737053
55.631257,37.736935
55.631239,37.738029
55.631354,37.738351
55.631275,37.738909
55.631288,37.739403
55.631397,37.739564
55.631421,37.740379
55.631348,37.740497
55.631397,37.741312
55.631251,37.741699
55.631269,37.741892
55.631178,37.74231
55.631093,37.743501
55.631154,37.74422
55.631239,37.745153
55.630705,37.745658
55.630808,37.746205
55.630935,37.746505
55.631033,37.747417
55.630911,37.748436
55.630948,37.74922
55.630875,37.749788
55.63099,37.750196
55.631057,37.751151
55.630474,37.75129
55.627925,37.752749
55.626268,37.754595
55.624525,37.757384
55.623202,37.760013
55.622127,37.762159
55.620209,37.767469
55.619499,37.769379
55.619207,37.770752
55.619128,37.772061
55.619116,37.772426
55.619067,37.774872
55.6189,37.774845
55.618791,37.774958
55.618706,37.775366
55.618554,37.775736
55.618351,37.775655
55.617902,37.775301
55.617691,37.774427
55.617606,37.774041
55.617417,37.773773
55.617181,37.773697
55.617023,37.773837
55.616914,37.773783
55.616847,37.773408
55.616865,37.772968
55.61664,37.772764
55.616425,37.772469
55.616246,37.77211
55.616176,37.771831
55.616015,37.771664
55.615881,37.771444
55.61576,37.771144
55.615787,37.771074
55.615687,37.770597
55.61573,37.770393
55.615693,37.770275
55.615544,37.769883
55.615493,37.769567
55.615326,37.769052
55.615264,37.768424
55.615061,37.767754
55.614985,37.767158
55.614739,37.766938
55.61456,37.766311
55.614387,37.766037
55.614317,37.764691
55.614186,37.764224
55.613986,37.764186
55.613792,37.763913
55.613652,37.76343
55.613579,37.763022
55.613673,37.76248
55.613758,37.761955
55.61378,37.761504
55.613701,37.761107
55.613546,37.760957
55.613491,37.760807
55.613455,37.760576
55.613045,37.75997
55.612717,37.759428
55.612623,37.758929
55.612586,37.758296
55.612553,37.75813
55.612383,37.758006
55.612128,37.757899
55.611918,37.75732
55.611745,37.756451
55.611879,37.755646
55.611934,37.755094
55.611952,37.754659
55.612003,37.754284
55.611949,37.754058
55.611937,37.753849
55.611924,37.753506
55.611921,37.753264
55.611845,37.753087
55.611782,37.75261
55.611757,37.752154
55.61166,37.751349
55.611587,37.751151
55.611542,37.750925
55.611487,37.750421
55.611402,37.74967
55.61132,37.749198
55.611314,37.74893
55.611326,37.748565
55.611187,37.748206
55.611077,37.747374
55.611092,37.746548
55.611086,37.744654
55.611162,37.741693
55.611332,37.738078
55.611278,37.735406
55.61149,37.733668
55.611587,37.733389
55.611302,37.731276
55.611853,37.730997
55.612485,37.730632
55.613001,37.730385
