Latitude,Longitude
55.789208,37.84196
55.7876,37.834428
55.789547,37.829772
55.789801,37.826338
55.79026,37.823527
55.789196,37.823549
55.788942,37.823227
55.788822,37.818657
55.788749,37.815374
55.788592,37.809752
55.788326,37.805911
55.788193,37.799709
55.778039,37.800815
55.767894,37.801319
55.766152,37.801448
55.762281,37.799774
55.760853,37.800632
55.761083,37.801812
55.761071,37.803035
55.760853,37.804001
55.760212,37.808657
55.759752,37.812305
55.759232,37.81621
55.758615,37.820094
55.757598,37.826982
55.756316,37.82636
55.753484,37.825137
55.750616,37.823764
55.750241,37.826532
55.749648,37.830544
55.749345,37.830995
55.748631,37.829557
55.748244,37.829021
55.746719,37.827326
55.746102,37.82784
55.747518,37.835136
55.748994,37.842689
55.751814,37.842796
55.755396,37.84299
55.758167,37.843226
55.762414,37.843333
55.76343,37.843333
55.766914,37.843633
55.767313,37.843977
55.768438,37.846058
55.769521,37.845264
55.77041,37.844899
55.772369,37.843805
55.774861,37.843505
55.775236,37.843698
55.775829,37.844835
55.776167,37.845264
55.77705,37.845736
55.777328,37.847067
55.778513,37.850521
55.778864,37.850135
55.778005,37.846487
55.778102,37.84535
55.778949,37.84299
55.782141,37.842711
55.785672,37.842346
55.789202,37.84196
