Latitude,Longitude
55.788193,37.799709
55.778039,37.800815
55.767894,37.801319
55.764652,37.784453
55.766043,37.78353
55.765898,37.78102
55.765547,37.775473
55.762123,37.766246
55.762692,37.76556
55.762135,37.764143
55.760369,37.754466
55.759583,37.753672
55.759933,37.753554
55.762075,37.752385
55.762196,37.752149
55.763224,37.751558
55.763418,37.751322
55.764428,37.75085
55.7647,37.750604
55.765178,37.749917
55.765807,37.748823
55.766031,37.748672
55.767017,37.748479
55.766902,37.748404
55.770313,37.748147
55.770259,37.746655
55.770168,37.745325
55.771535,37.745078
55.773567,37.744595
55.775593,37.744134
55.776917,37.743834
55.779387,37.743651
55.781642,37.743469
55.784179,37.743244
55.786793,37.743018
55.788504,37.742922
55.789278,37.743093
55.793678,37.744574
55.798729,37.746312
55.8014,37.746527
55.802283,37.751698
55.802246,37.752792
55.802343,37.762706
55.802379,37.767963
55.802464,37.769315
55.802536,37.774572
55.802681,37.787811
55.802923,37.805106
55.799321,37.805235
55.793314,37.8056
55.793205,37.799463
55.791041,37.799527
55.788188,37.79972
