Latitude,Longitude
55.802916,37.805031
55.803085,37.818775
55.803194,37.822465
55.803255,37.8321
55.803448,37.832443
55.803533,37.836391
55.803387,37.838065
55.804378,37.840254
55.800934,37.840608
55.798347,37.840908
55.795471,37.841252
55.791699,37.841681
55.789208,37.84196
55.7876,37.834428
55.789547,37.829772
55.789801,37.826338
55.79026,37.823527
55.789196,37.823549
55.788942,37.823227
55.788822,37.818657
55.788749,37.815374
55.788592,37.809752
55.788326,37.805911
55.788193,37.799709
55.789753,37.799581
55.793234,37.799431
55.793319,37.80561
55.796909,37.805417
55.799351,37.805224
55.802916,37.805031
