Latitude,Longitude
55.815211,37.844223
55.81468,37.842914
55.814221,37.841155
55.813882,37.838816
55.813351,37.83416
55.813302,37.83255
55.81288,37.828988
55.811816,37.820963
55.81062,37.811651
55.81033,37.802874
55.810209,37.798583
55.809895,37.787446
55.809786,37.782962
55.809472,37.779679
55.809243,37.77837
55.808735,37.776353
55.805883,37.765667
55.802596,37.753157
55.80227,37.751612
55.802276,37.755979
55.802354,37.762974
55.802384,37.76778
55.802469,37.769164
55.802517,37.774583
55.802638,37.782179
55.802783,37.793658
55.802916,37.805031
55.803085,37.818775
55.803194,37.822465
55.803255,37.8321
55.803448,37.832443
55.803533,37.836391
55.803387,37.838065
55.804378,37.840254
55.805611,37.840146
55.807134,37.840168
55.808004,37.840082
55.8103,37.839825
55.811689,37.839653
55.812112,37.839975
55.812861,37.84137
55.813224,37.841885
55.814311,37.843
55.814553,37.843322
55.814928,37.844116
55.815211,37.844223
