Latitude,Longitude
55.628612,37.515942
55.626712,37.518979
55.626092,37.519966
55.625631,37.521017
55.62432,37.524418
55.626001,37.527122
55.626256,37.527058
55.626505,37.526639
55.627088,37.525963
55.627416,37.526049
55.627835,37.525652
55.628229,37.525051
55.628684,37.524011
55.628988,37.524021
55.629989,37.524483
55.630287,37.524837
55.630687,37.525834
55.631404,37.527787
55.631792,37.528442
55.631361,37.530534
55.631458,37.53077
55.631355,37.5321
55.630809,37.532701
55.630542,37.533495
55.630724,37.536199
55.631009,37.538012
55.630948,37.540372
55.631628,37.540683
55.632951,37.541488
55.63445,37.542453
55.636223,37.543569
55.637248,37.544234
55.637291,37.544546
55.637394,37.544803
55.637552,37.544943
55.637722,37.544964
55.637952,37.544846
55.638128,37.544932
55.638686,37.545458
55.63919,37.546091
55.63953,37.546648
55.6401,37.547914
55.640877,37.549695
55.641253,37.550768
55.641733,37.552345
55.642764,37.551798
55.643383,37.55226
55.644214,37.551991
55.644275,37.552442
55.64504,37.552238
55.645543,37.555789
55.645489,37.556122
55.645167,37.555864
55.643771,37.558278
55.643589,37.558793
55.64362,37.559405
55.64379,37.559984
55.644639,37.561433
55.644936,37.561658
55.645658,37.561905
55.64669,37.56286
55.647084,37.563117
55.647806,37.563192
55.64814,37.563439
55.64854,37.563954
55.648759,37.564684
55.649493,37.563782
55.649632,37.563053
55.650457,37.557141
55.651107,37.552313
55.651361,37.551015
55.651701,37.549486
55.652089,37.547936
55.652459,37.546777
55.65289,37.545683
55.653812,37.54358
55.654461,37.542432
55.655201,37.540812
55.65548,37.540007
55.655765,37.539052
55.655899,37.538505
55.656154,37.536939
55.656566,37.532808
55.656997,37.52856
55.657282,37.525427
55.656105,37.523914
55.655274,37.522777
55.655844,37.521564
55.655638,37.520416
55.655062,37.520009
55.654989,37.521071
55.654661,37.521961
55.652945,37.519708
55.651167,37.517348
55.649347,37.514955
55.648061,37.513217
55.648965,37.511007
55.64993,37.50884
55.64794,37.506211
55.646848,37.504699
55.64476,37.501995
55.642728,37.499291
55.642176,37.49854
55.640695,37.502242
55.639402,37.505632
55.637582,37.510288
55.635834,37.514612
55.635312,37.516071
55.634845,37.517799
55.634287,37.520502
55.63218,37.519022
55.630275,37.517691
55.629613,37.51709
55.628611,37.515942
