Latitude,Longitude
55.848349,37.555088
55.847662,37.552964
55.846987,37.550733
55.846638,37.549531
55.845915,37.545905
55.845234,37.542428
55.844114,37.537193
55.842735,37.530691
55.842045,37.527376
55.841533,37.525005
55.84115,37.523546
55.840988,37.523074
55.841669,37.522323
55.841165,37.520853
55.841175,37.520338
55.841313,37.519276
55.841286,37.518868
55.841036,37.517967
55.840783,37.517452
55.839702,37.516486
55.838129,37.515102
55.83797,37.514855
55.837879,37.514469
55.837641,37.511111
55.837379,37.507581
55.83718,37.504878
55.836457,37.505843
55.836005,37.506422
55.835355,37.507066
55.834535,37.507646
55.833951,37.507989
55.833409,37.508525
55.833059,37.508826
55.83271,37.508804
55.832167,37.507925
55.831968,37.507967
55.831607,37.508697
55.830342,37.51095
55.829986,37.511229
55.82813,37.514362
55.827841,37.514791
55.827624,37.514941
55.827443,37.514362
55.826286,37.515306
55.825569,37.515778
55.822784,37.518095
55.822296,37.518632
55.821206,37.519544
55.82101,37.519501
55.819861,37.518675
55.819412,37.518364
55.819277,37.519061
55.819421,37.519694
55.819289,37.520177
55.819138,37.521239
55.818608,37.52317
55.817483,37.521958
55.8161,37.52052
55.815389,37.520585
55.81519,37.520306
55.815298,37.522816
55.815479,37.5264
55.815575,37.530112
55.815413,37.532408
55.815027,37.53421
55.81446,37.535927
55.814014,37.536871
55.811916,37.540669
55.811639,37.541141
55.81182,37.541549
55.81217,37.541098
55.813701,37.540261
55.814653,37.539532
55.815051,37.539403
55.815654,37.539081
55.817215,37.537794
55.819235,37.535669
55.821091,37.533073
55.823911,37.532687
55.825888,37.532858
55.827058,37.532773
55.829733,37.532515
55.831083,37.531957
55.831565,37.533588
55.832348,37.535991
55.832782,37.538137
55.834035,37.539124
55.834782,37.538437
55.835119,37.537493
55.835601,37.537021
55.83653,37.538652
55.837445,37.540969
55.838204,37.543072
55.84053,37.549209
55.843253,37.556505
55.844168,37.558994
55.844855,37.560496
55.846927,37.557363
55.848313,37.555046
