Latitude,Longitude
55.73062,37.840404
55.730947,37.841681
55.731141,37.843977
55.731238,37.84756
55.731189,37.84874
55.731189,37.849405
55.730971,37.854491
55.730766,37.859083
55.73062,37.8611
55.732449,37.861937
55.732497,37.869447
55.730929,37.871185
55.729803,37.873384
55.726739,37.870058
55.724644,37.871217
55.723385,37.87229
55.723482,37.875916
55.722004,37.876818
55.720515,37.87656
55.719037,37.881624
55.719025,37.882568
55.719425,37.88377
55.71997,37.88716
55.721556,37.886774
55.722985,37.883813
55.724099,37.885358
55.723712,37.887504
55.723736,37.889649
55.722549,37.890636
55.723227,37.89261
55.723663,37.899177
55.724075,37.899434
55.724608,37.901751
55.725238,37.90188
55.72548,37.903726
55.72502,37.905871
55.724874,37.908489
55.726521,37.913768
55.727853,37.916085
55.728677,37.917373
55.730614,37.917973
55.730856,37.91969
55.730905,37.920849
55.731317,37.92308
55.730977,37.924883
55.73059,37.925527
55.730542,37.926213
55.730626,37.926599
55.73019,37.92838
55.730227,37.92896
55.730069,37.930397
55.72921,37.931899
55.728737,37.932908
55.728519,37.93308
55.728301,37.933766
55.728071,37.933766
55.727442,37.935097
55.727103,37.937028
55.726752,37.937629
55.726328,37.937714
55.72545,37.93897
55.724572,37.940525
55.724245,37.941019
55.723288,37.94177
55.723034,37.942306
55.722682,37.942542
55.722125,37.942542
55.72192,37.943422
55.721496,37.943615
55.721387,37.944409
55.721556,37.944559
55.720854,37.945611
55.717475,37.938916
55.716433,37.937157
55.716239,37.92793
55.715924,37.9269
55.715137,37.925956
55.712411,37.925827
55.707868,37.921643
55.707093,37.916321
55.706923,37.910678
55.706935,37.907051
55.706935,37.905732
55.70679,37.903468
55.706378,37.899112
55.706172,37.896838
55.705784,37.895035
55.705397,37.892417
55.705203,37.88819
55.705154,37.887246
55.703094,37.884349
55.702731,37.88362
55.702937,37.883169
55.70238,37.882429
55.701737,37.884006
55.700762,37.881345
55.700083,37.879339
55.698435,37.876903
55.696848,37.874511
55.695072,37.871453
55.696987,37.867591
55.698853,37.863879
55.699992,37.861679
55.700841,37.860107
55.701707,37.858418
55.70158,37.858139
55.702531,37.85625
55.703313,37.854405
55.704409,37.851648
55.70616,37.846326
55.707923,37.841294
55.709746,37.836005
55.712357,37.837389
55.713774,37.838054
55.71507,37.838462
55.716814,37.838741
55.718716,37.838934
55.722495,37.839385
55.726576,37.8399
55.73062,37.840404
