Latitude,Longitude
55.691434,37.601269
55.69094,37.599922
55.690325,37.598426
55.689949,37.597793
55.689598,37.597374
55.68878,37.596462
55.686755,37.594231
55.684967,37.592267
55.683082,37.590229
55.682234,37.589306
55.680664,37.587579
55.680373,37.587139
55.680082,37.58671
55.679197,37.586088
55.678997,37.585734
55.678569,37.584382
55.678105,37.583008
55.676887,37.579457
55.675123,37.580283
55.674874,37.580273
55.674674,37.580069
55.672716,37.577977
55.670096,37.585583
55.665506,37.580594
55.665621,37.581893
55.665633,37.582665
55.665803,37.583609
55.665742,37.584403
55.665609,37.584789
55.665694,37.585283
55.665585,37.585669
55.665657,37.586098
55.66556,37.587064
55.665184,37.5876
55.665233,37.58819
55.665372,37.58818
55.665609,37.588888
55.665215,37.589682
55.665391,37.59039
55.665281,37.59113
55.665379,37.591334
55.665306,37.591913
55.665573,37.593963
55.665463,37.594156
55.665542,37.594574
55.665221,37.595143
55.66567,37.595443
55.665761,37.595915
55.665949,37.596023
55.666337,37.596634
55.665245,37.599778
55.664893,37.600936
55.664663,37.602245
55.664123,37.607234
55.665433,37.607417
55.665445,37.610592
55.666124,37.611601
55.668683,37.606666
55.671145,37.606687
55.672067,37.60555
55.673255,37.60555
55.673874,37.60688
55.67408,37.607245
55.674528,37.607331
55.674771,37.608082
55.675365,37.608447
55.67562,37.609391
55.676456,37.609262
55.676966,37.61027
55.677184,37.611365
55.677887,37.611923
55.678251,37.611687
55.678627,37.611794
55.678797,37.612395
55.680227,37.614004
55.680251,37.61439
55.680833,37.614884
55.681718,37.614734
55.68207,37.614412
55.682906,37.614304
55.683658,37.613704
55.683998,37.613768
55.684313,37.614455
55.684313,37.615356
55.68464,37.6163
55.684507,37.616836
55.684992,37.616987
55.685016,37.615828
55.684628,37.613532
55.684179,37.611129
55.683985,37.609841
55.684046,37.607996
55.684361,37.606902
55.684858,37.605915
55.685428,37.605292
55.68601,37.604949
55.686689,37.604906
55.687246,37.605078
55.687889,37.605292
55.688495,37.605357
55.689004,37.605228
55.68944,37.604992
55.689913,37.604434
55.690252,37.603554
55.690822,37.602288
55.69144,37.60128
