Latitude,Longitude
55.792065,37.644567
55.792976,37.643065
55.792614,37.641069
55.792445,37.640383
55.791275,37.641906
55.790092,37.643344
55.788572,37.644653
55.788391,37.642314
55.788464,37.641456
55.786401,37.642292
55.784781,37.642883
55.783267,37.643483
55.782247,37.643902
55.781071,37.644309
55.77977,37.6449
55.779728,37.644374
55.779683,37.641263
55.778428,37.640672
55.777131,37.640039
55.777091,37.639353
55.776225,37.638849
55.774732,37.638098
55.773932,37.638076
55.77364,37.638033
55.772888,37.637647
55.771841,37.637271
55.7722,37.635222
55.772535,37.63239
55.771265,37.632476
55.770607,37.632486
55.769983,37.632358
55.769014,37.632079
55.768003,37.631832
55.766871,37.63151
55.766328,37.631338
55.76555,37.630974
55.765293,37.630716
55.764988,37.630298
55.764768,37.630062
55.763796,37.6293
55.76309,37.628785
55.762873,37.629901
55.763497,37.630158
55.763437,37.630587
55.762429,37.630233
55.761859,37.629997
55.761542,37.629815
55.76127,37.629632
55.761086,37.62945
55.760817,37.630083
55.760063,37.62872
55.759725,37.628173
55.759803,37.628817
55.760198,37.63136
55.760929,37.631961
55.761409,37.632744
55.762151,37.634106
55.762453,37.634611
55.763681,37.635898
55.764937,37.637057
55.765097,37.637271
55.765378,37.638055
55.765646,37.638709
55.76682,37.640962
55.767759,37.643226
55.768468,37.644631
55.768555,37.644771
55.76848,37.645179
55.768525,37.646595
55.768634,37.64814
55.768824,37.650103
55.769138,37.652002
55.769518,37.653483
55.769569,37.655113
55.769648,37.658654
55.769705,37.661926
55.769729,37.663042
55.770716,37.663353
55.772155,37.663911
55.772738,37.664104
55.773187,37.66433
55.773317,37.664501
55.773631,37.665349
55.77396,37.666411
55.774461,37.667763
55.775987,37.670906
55.776784,37.672591
55.777345,37.673953
55.777963,37.675026
55.778407,37.676045
55.777538,37.678588
55.777097,37.679994
55.778054,37.681206
55.77901,37.682408
55.780341,37.684178
55.780823,37.684832
55.781095,37.684983
55.781562,37.685723
55.782431,37.686892
55.782561,37.686184
55.782802,37.685272
55.783421,37.681818
55.783858,37.679672
55.784129,37.677901
55.784642,37.675316
55.785366,37.671915
55.785837,37.669737
55.786335,37.666475
55.786953,37.663192
55.787381,37.660875
55.787628,37.659641
55.787888,37.658686
55.788524,37.655189
55.789426,37.651841
55.789993,37.649416
55.790325,37.648354
55.791284,37.646048
55.792059,37.644578
