Latitude,Longitude
55.98909,37.144435
55.991201,37.147074
55.99084,37.148019
55.991417,37.149692
55.992115,37.148748
55.993293,37.150851
55.993149,37.152525
55.995025,37.152267
55.996648,37.15054
55.996985,37.148941
55.997761,37.14922
55.998374,37.148534
55.999456,37.150593
55.997406,37.152965
55.995422,37.155282
55.993335,37.157653
55.991261,37.159938
55.989168,37.162299
55.987135,37.164637
55.985127,37.166955
55.983021,37.169455
55.981295,37.171858
55.980447,37.173317
55.979226,37.175484
55.977734,37.178596
55.976862,37.180602
55.976146,37.182544
55.975502,37.184464
55.974774,37.186675
55.974155,37.18882
55.973126,37.193294
55.971971,37.19853
55.970821,37.203873
55.96975,37.208604
55.968794,37.207757
55.968619,37.20928
55.967843,37.209623
55.966754,37.21104
55.964227,37.209688
55.963143,37.205911
55.962674,37.205954
55.961157,37.207263
55.961121,37.208079
55.959785,37.209623
55.95739,37.210181
55.956583,37.211126
55.955392,37.213282
55.955819,37.215267
55.955647,37.216061
55.956322,37.216511
55.95581,37.218711
55.955088,37.218292
55.954107,37.21781
55.95342,37.219633
55.951488,37.218367
55.951277,37.219237
55.950176,37.220406
55.947689,37.21841
55.947816,37.218099
55.947888,37.217627
55.948123,37.217091
55.94861,37.21664
55.948665,37.216297
55.948484,37.215632
55.948713,37.214602
55.948376,37.214162
55.947996,37.211233
55.948424,37.209645
55.948225,37.208615
55.948418,37.208368
55.948749,37.20854
55.949086,37.208143
55.948665,37.207188
55.948117,37.204828
55.948303,37.20412
55.948334,37.203251
55.948556,37.203025
55.948568,37.202392
55.948836,37.201963
55.949104,37.201663
55.950754,37.202875
55.952963,37.202843
55.954155,37.197478
55.953011,37.197436
55.953793,37.195376
55.954528,37.19559
55.956117,37.18911
55.955455,37.187586
55.954492,37.187318
55.953095,37.186514
55.954203,37.182952
55.954961,37.184024
55.955166,37.183638
55.955684,37.183102
55.955997,37.183338
55.956671,37.183874
55.956984,37.183853
55.957345,37.184293
55.958488,37.182115
55.958296,37.181621
55.958428,37.179518
55.95826,37.178467
55.958585,37.177759
55.958211,37.177501
55.95767,37.175817
55.957357,37.175581
55.957742,37.172512
55.958428,37.172212
55.959174,37.173371
55.959511,37.173585
55.959969,37.17307
55.960402,37.172062
55.960763,37.170581
55.960643,37.16895
55.959861,37.169337
55.959511,37.168435
55.959451,37.169401
55.958825,37.169465
55.958741,37.169036
55.95897,37.167727
55.958476,37.167813
55.958416,37.165582
55.958922,37.165582
55.958789,37.163886
55.959319,37.163779
55.958886,37.163286
55.959523,37.162063
55.959957,37.162492
55.959848,37.161805
55.961257,37.161741
55.960944,37.156913
55.961281,37.156011
55.961714,37.156913
55.961738,37.157878
55.962496,37.157964
55.962617,37.156913
55.961991,37.154595
55.963508,37.154145
55.963171,37.153329
55.96222,37.153072
55.962063,37.151355
55.962785,37.150626
55.962328,37.14893
55.961618,37.14951
55.960872,37.148845
55.961859,37.147471
55.962894,37.145519
55.965806,37.148716
55.966227,37.146441
55.966456,37.145304
55.96979,37.146291
55.970066,37.145905
55.970102,37.144875
55.971625,37.145025
55.971697,37.147214
55.970072,37.14731
55.970229,37.14892
55.973333,37.148866
55.973351,37.147589
55.976913,37.147536
55.977484,37.147589
55.977761,37.148598
55.979692,37.147911
55.981569,37.147257
55.983608,37.146527
55.986765,37.145358
55.989087,37.144435
