Latitude,Longitude
55.68053,37.802166
55.680979,37.802649
55.686761,37.804967
55.687913,37.805138
55.688095,37.804731
55.688737,37.801662
55.688955,37.799366
55.688955,37.798551
55.68858,37.796577
55.688458,37.795804
55.688107,37.795096
55.688022,37.793873
55.687404,37.792199
55.687064,37.791148
55.687646,37.789453
55.688555,37.787736
55.689271,37.787285
55.69018,37.787564
55.690446,37.78765
55.690337,37.789453
55.694095,37.790547
55.696773,37.791341
55.701729,37.792757
55.705582,37.794002
55.707339,37.794549
55.708042,37.78956
55.709229,37.78058
55.71233,37.777962
55.7168,37.7744
55.715868,37.770774
55.713723,37.762491
55.711809,37.75497
55.709871,37.747535
55.707945,37.745196
55.704783,37.747267
55.700493,37.750121
55.694216,37.754284
55.691355,37.756043
55.690992,37.755753
55.69058,37.758457
55.690586,37.759498
55.690761,37.760635
55.689895,37.76041
55.688986,37.76115
55.687489,37.764058
55.686386,37.767791
55.684676,37.772147
55.685331,37.773177
55.683307,37.782082
55.684349,37.783992
55.681682,37.788863
55.681737,37.789678
55.681864,37.79015
55.682791,37.791631
55.683107,37.792371
55.682985,37.793186
55.682137,37.796148
55.681506,37.797982
55.68053,37.802166
