Latitude,Longitude
55.809176,37.385598
55.809001,37.385544
55.809128,37.384536
55.80923,37.383334
55.809327,37.382068
55.809406,37.380791
55.809061,37.380706
55.809243,37.37944
55.8083,37.378705
55.808487,37.377712
55.807442,37.377326
55.807351,37.377809
55.806953,37.377755
55.806608,37.378753
55.806191,37.37886
55.805684,37.378581
55.805629,37.378174
55.804445,37.377648
55.803236,37.375266
55.803678,37.374418
55.80349,37.373796
55.802838,37.373571
55.802971,37.372745
55.803249,37.372841
55.803327,37.372273
55.805043,37.372541
55.806705,37.372831
55.807472,37.372916
55.807907,37.372723
55.808789,37.372884
55.809351,37.371683
55.811424,37.372916
55.812541,37.373753
55.812336,37.375261
55.812058,37.376382
55.812704,37.377487
55.811889,37.378967
55.811333,37.381049
55.810457,37.380158
55.810529,37.380942
55.809575,37.38077
55.80949,37.381725
55.809454,37.382529
55.809291,37.384407
55.809176,37.385598
55.787999,37.37061
55.788719,37.370116
55.78997,37.368324
55.790478,37.367359
55.790714,37.366565
55.790931,37.365385
55.791898,37.360814
55.792799,37.357907
55.793966,37.35471
55.794558,37.353111
55.793603,37.347972
55.791735,37.349367
55.788157,37.349581
55.785061,37.348165
55.782063,37.343573
55.77916,37.33838
55.774976,37.332115
55.771517,37.329325
55.770162,37.325463
55.769533,37.319326
55.76819,37.319927
55.767537,37.320806
55.767174,37.322094
55.767017,37.323403
55.767464,37.329561
55.767706,37.332587
55.768686,37.332522
55.768831,37.332286
55.771372,37.332158
55.771988,37.332587
55.771505,37.334797
55.771514,37.33577
55.770664,37.340606
55.769321,37.338085
55.768871,37.341358
55.768523,37.344533
55.769696,37.344512
55.769793,37.345156
55.769612,37.345434
55.769497,37.34714
55.769956,37.347956
55.769908,37.348417
55.770712,37.348728
55.770809,37.348707
55.774667,37.352333
55.775641,37.352301
55.776869,37.352194
55.777552,37.352473
55.77777,37.351904
55.781307,37.35758
55.780956,37.357944
55.780775,37.358148
55.78072,37.358427
55.781615,37.358556
55.782208,37.359307
55.782982,37.360594
55.783278,37.360798
55.783526,37.360584
55.783997,37.359682
55.785454,37.362944
55.786905,37.36672
55.787999,37.37061
55.726858,37.447686
55.726807,37.445642
55.72678,37.442461
55.726768,37.441066
55.72684,37.438008
55.72684,37.43215
55.726877,37.425981
55.726895,37.421185
55.726931,37.415639
55.726943,37.413321
55.727179,37.411862
55.72773,37.407774
55.728275,37.40374
55.729086,37.397872
55.72945,37.395297
55.72994,37.391499
55.730037,37.390233
55.729874,37.388414
55.729662,37.386553
55.729044,37.383602
55.728802,37.382465
55.728729,37.381499
55.728705,37.380298
55.728772,37.379236
55.72899,37.377583
55.73198,37.376103
55.731884,37.375523
55.731884,37.375094
55.731968,37.37459
55.732168,37.374236
55.73235,37.374075
55.732555,37.374021
55.734117,37.374569
55.73491,37.374644
55.736763,37.37371
55.738657,37.372713
55.7406,37.371683
55.742585,37.370696
55.744522,37.369848
55.746247,37.369247
55.747826,37.368829
55.749745,37.368528
55.751439,37.368507
55.753369,37.368593
55.755227,37.368657
55.757005,37.368689
55.758905,37.368743
55.760768,37.368807
55.762492,37.368818
55.762855,37.368131
55.763085,37.368003
55.763823,37.368228
55.764089,37.368045
55.764216,37.367681
55.764337,37.366629
55.764337,37.365889
55.764489,37.365782
55.764797,37.36635
55.765517,37.366651
55.765904,37.367069
55.767241,37.369
55.76836,37.369022
55.768716,37.368754
55.769218,37.368121
55.770198,37.366479
55.77038,37.366468
55.770785,37.366844
55.771015,37.366822
55.771626,37.365535
55.771704,37.365674
55.770767,37.367638
55.769926,37.369483
55.76917,37.3712
55.767991,37.373582
55.766799,37.376403
55.76519,37.37959
55.764192,37.381886
55.762154,37.386145
55.760472,37.389546
55.758633,37.393258
55.75686,37.39696
55.753411,37.404212
55.750422,37.410435
55.746428,37.418804
55.744843,37.422108
55.745872,37.42361
55.746683,37.425016
55.748631,37.428181
55.74569,37.431614
55.745254,37.431067
55.744534,37.432633
55.742876,37.433234
55.74155,37.435862
55.740267,37.438555
55.73893,37.441817
55.738445,37.441238
55.738464,37.440637
55.738318,37.440326
55.738403,37.439811
55.737186,37.437933
55.73672,37.438834
55.735419,37.441549
55.734608,37.442943
55.733984,37.443823
55.73284,37.444928
55.731944,37.445443
55.730879,37.445948
55.730007,37.446323
55.727313,37.447471
55.726858,37.447686
