Latitude,Longitude
55.852516,37.496767
55.854925,37.494063
55.857099,37.491574
55.85908,37.489213
55.858152,37.485351
55.860694,37.482562
55.862524,37.480201
55.86604,37.476511
55.86645,37.477712
55.866678,37.479085
55.8671,37.478785
55.872457,37.473163
55.876153,37.469258
55.876538,37.469344
55.879607,37.466382
55.880655,37.46488
55.8811,37.463679
55.881894,37.462735
55.882243,37.461276
55.882472,37.458915
55.883026,37.458894
55.883019,37.456276
55.882917,37.453722
55.882731,37.451062
55.882677,37.44883
55.88299,37.445161
55.883206,37.44353
55.883916,37.44265
55.883778,37.441921
55.883092,37.442135
55.881642,37.441835
55.881256,37.441534
55.880679,37.440612
55.87962,37.43705
55.87859,37.438166
55.87729,37.438144
55.876255,37.43941
55.875684,37.44102
55.874546,37.442522
55.873703,37.445032
55.872812,37.446427
55.871277,37.44956
55.870507,37.451834
55.869592,37.454066
55.867786,37.454538
55.866076,37.45471
55.864366,37.455182
55.862717,37.456212
55.861404,37.456512
55.859116,37.458143
55.857093,37.459044
55.853841,37.460289
55.851348,37.461662
55.847252,37.463979
55.848457,37.469944
55.8493,37.474279
55.84971,37.474021
55.849951,37.47488
55.850372,37.477626
55.850481,37.479901
55.850481,37.481553
55.85036,37.483656
55.850306,37.485651
55.850469,37.489192
55.850818,37.491917
55.851023,37.492518
55.85195,37.495179
55.852492,37.496788
