Latitude,Longitude
55.741585,37.696609
55.741905,37.697489
55.741978,37.700482
55.744133,37.700815
55.744072,37.701952
55.743885,37.704849
55.743636,37.707617
55.743279,37.711501
55.741524,37.712069
55.739757,37.712981
55.738625,37.713571
55.737826,37.714151
55.737045,37.714988
55.73621,37.715932
55.735529,37.717192
55.734993,37.718453
55.734575,37.719558
55.734248,37.720577
55.733982,37.723066
55.733873,37.724375
55.733437,37.728924
55.735592,37.730212
55.736246,37.730577
55.737311,37.731113
55.738546,37.731478
55.739369,37.731843
55.74081,37.732851
55.742511,37.733784
55.744399,37.73505
55.746033,37.736488
55.747685,37.730115
55.748375,37.727347
55.749162,37.724772
55.749392,37.723957
55.749876,37.722777
55.75082,37.720867
55.751401,37.72003
55.753216,37.718442
55.754281,37.717799
55.755188,37.717477
55.757269,37.717627
55.760125,37.719236
55.761165,37.719944
55.762121,37.720373
55.763228,37.720695
55.763924,37.720803
55.765472,37.720824
55.766791,37.720502
55.768841,37.718485
55.770916,37.716683
55.773553,37.715073
55.775306,37.713571
55.772779,37.708743
55.771279,37.705417
55.770783,37.70486
55.769972,37.702564
55.766755,37.697199
55.769501,37.692221
55.767722,37.688916
55.767239,37.688423
55.763803,37.685784
55.763041,37.685784
55.762248,37.685945
55.761577,37.685312
55.760433,37.684421
55.759605,37.682898
55.759078,37.680784
55.759066,37.67822
55.759363,37.673853
55.759127,37.672298
55.758558,37.671214
55.757596,37.670742
55.756628,37.671107
55.755467,37.671922
55.754208,37.672802
55.75347,37.673049
55.752532,37.672737
55.750674,37.670538
55.750275,37.671772
55.749948,37.673049
55.749706,37.674315
55.749603,37.675248
55.749355,37.677072
55.749065,37.678821
55.748823,37.679969
55.748523,37.681154
55.748224,37.682211
55.747909,37.683155
55.747231,37.684818
55.746668,37.685902
55.746257,37.686792
55.745549,37.688616
55.744677,37.690526
55.743146,37.693669
55.742665,37.694678
55.74216,37.695622
55.741567,37.696459
55.741585,37.696609
