Latitude,Longitude
55.90704,37.536703
55.905726,37.537336
55.904352,37.538216
55.903725,37.538795
55.902755,37.539921
55.901724,37.541541
55.901158,37.542786
55.90085,37.54358
55.898951,37.548826
55.897324,37.553247
55.89613,37.556487
55.895178,37.559083
55.893556,37.563342
55.893122,37.564308
55.892561,37.565166
55.891777,37.566111
55.891259,37.566454
55.890337,37.566937
55.887768,37.567312
55.887729,37.569034
55.887421,37.569968
55.887391,37.573336
55.887014,37.57854
55.886056,37.578738
55.885588,37.57964
55.885621,37.582059
55.88598,37.584253
55.885875,37.584387
55.88611,37.585734
55.886146,37.586592
55.888027,37.586683
55.891958,37.586833
55.895696,37.586898
55.899566,37.587005
55.904039,37.587187
55.907968,37.587402
55.908679,37.587616
55.912668,37.590535
55.912198,37.589784
55.911825,37.588625
55.911307,37.58811
55.910421,37.587488
55.910324,37.587016
55.910638,37.585363
55.910921,37.583432
55.911198,37.580096
55.911258,37.577596
55.91127,37.575386
55.911096,37.572135
55.90977,37.559743
55.909408,37.55616
55.909128,37.556197
55.908227,37.547684
55.907733,37.542799
55.907037,37.536699
