Latitude,Longitude
55.678245,37.514258
55.673649,37.52415
55.671248,37.529321
55.670666,37.530008
55.66909,37.531038
55.668653,37.531531
55.66835,37.53224
55.66818,37.532991
55.668144,37.53387
55.668277,37.53681
55.668423,37.54005
55.668568,37.540705
55.668647,37.541434
55.668799,37.541842
55.669399,37.541456
55.670278,37.54152
55.670812,37.541713
55.671382,37.542099
55.672315,37.542926
55.673037,37.543709
55.673661,37.544642
55.673213,37.546026
55.673467,37.546294
55.675359,37.548333
55.676929,37.549996
55.678863,37.552109
55.680797,37.554159
55.682106,37.555586
55.682628,37.554684
55.684028,37.552195
55.683688,37.551745
55.682197,37.549534
55.680797,37.547475
55.681828,37.545243
55.682882,37.543054
55.684355,37.539932
55.684907,37.538806
55.686555,37.535909
55.687949,37.533473
55.688852,37.531939
55.689962,37.530072
55.688525,37.527487
55.687089,37.524912
55.685367,37.521822
55.683858,37.519097
55.682076,37.5159
55.680251,37.512617
55.679706,37.511587
55.67856,37.513679
55.678245,37.514258
