Latitude,Longitude
55.86188,37.681635
55.862091,37.681195
55.862296,37.681335
55.862918,37.681335
55.864396,37.683502
55.867539,37.676979
55.867998,37.675284
55.87058,37.675949
55.871328,37.676421
55.876925,37.680712
55.879627,37.67921
55.881292,37.678266
55.882908,37.675606
55.883414,37.675112
55.88371,37.675101
55.883438,37.676002
55.883089,37.676571
55.883016,37.67685
55.883119,37.677633
55.883173,37.678245
55.884156,37.67921
55.884494,37.679736
55.884723,37.679908
55.885145,37.680412
55.885404,37.680906
55.886297,37.681614
55.886984,37.681614
55.887563,37.68171
55.887937,37.681903
55.888311,37.682204
55.889746,37.683577
55.890927,37.684564
55.891868,37.685036
55.894159,37.685272
55.895117,37.685219
55.895039,37.690283
55.89487,37.693866
55.894738,37.69569
55.894328,37.698458
55.893821,37.701205
55.893303,37.703222
55.892037,37.706912
55.889975,37.711762
55.885907,37.719722
55.884321,37.717351
55.882596,37.714551
55.88092,37.711976
55.878869,37.708886
55.877416,37.706794
55.876535,37.705389
55.875558,37.703758
55.873712,37.700475
55.872844,37.699037
55.871933,37.697707
55.870208,37.694896
55.868301,37.692031
55.867354,37.690637
55.865937,37.688255
55.864145,37.685358
55.863433,37.684028
55.862685,37.682826
55.861882,37.681646
