Latitude,Longitude
55.690992,37.755753
55.69058,37.758457
55.690586,37.759498
55.690761,37.760635
55.689895,37.76041
55.688986,37.76115
55.687489,37.764058
55.686386,37.767791
55.684676,37.772147
55.685331,37.773177
55.683307,37.782082
55.684349,37.783992
55.681682,37.788863
55.681737,37.789678
55.681864,37.79015
55.682791,37.791631
55.683107,37.792371
55.682985,37.793186
55.682137,37.796148
55.681506,37.797982
55.68053,37.802252
55.679324,37.802306
55.679166,37.8034
55.67856,37.804623
55.675856,37.80973
55.677578,37.812691
55.678572,37.814558
55.679021,37.815138
55.679494,37.81621
55.6805,37.81797
55.678415,37.822101
55.679063,37.823367
55.678948,37.823646
55.680542,37.827025
55.680439,37.827873
55.679997,37.828205
55.68033,37.833881
55.673552,37.836391
55.666446,37.838988
55.663268,37.840018
55.662346,37.840232
55.660866,37.840318
55.658428,37.840039
55.658186,37.840318
55.658101,37.841198
55.657919,37.841541
55.657676,37.841606
55.65673,37.841284
55.656997,37.839095
55.657124,37.83784
55.657124,37.837003
55.657027,37.831993
55.657209,37.81989
55.657415,37.808239
55.657512,37.79648
55.657597,37.792639
55.657706,37.791116
55.658422,37.788047
55.662049,37.7847
55.663541,37.782318
55.666573,37.776782
55.66718,37.775044
55.667361,37.772995
55.667471,37.770988
55.667604,37.768413
55.667774,37.767233
55.66878,37.764444
55.668817,37.76409
55.668774,37.763768
55.667604,37.759519
55.666415,37.751945
55.666112,37.75055
55.665906,37.749992
55.663602,37.744799
55.662607,37.742739
55.662377,37.741988
55.662255,37.741302
55.661758,37.739971
55.660266,37.737783
55.659271,37.734199
55.656505,37.727183
55.656906,37.726238
55.660363,37.720209
55.658216,37.715338
55.658204,37.714286
55.658507,37.713128
55.660848,37.716346
55.662013,37.717956
55.663808,37.720209
55.665106,37.72199
55.667277,37.724264
55.668162,37.724887
55.670296,37.726174
55.672516,37.727397
55.675305,37.729006
55.676214,37.729564
55.678675,37.731217
55.681743,37.732461
55.683513,37.733255
55.685622,37.734478
55.687004,37.735165
55.688143,37.735251
55.68938,37.73495
55.689719,37.7348
55.691343,37.733663
55.691804,37.733255
55.691931,37.735637
55.69164,37.738577
55.691568,37.738845
55.691143,37.739821
55.690234,37.741398
55.690058,37.742117
55.690258,37.745582
55.690368,37.745572
55.690434,37.746001
55.690307,37.746645
55.690252,37.747138
55.690289,37.747299
55.69004,37.748329
55.690119,37.748351
55.690107,37.748522
55.689952,37.748898
55.689915,37.749434
55.689796,37.749826
55.689779,37.750247
55.689713,37.750335
55.689634,37.750872
55.689331,37.752224
55.689325,37.752631
55.688968,37.754166
55.690022,37.755045
55.690992,37.755753
