Latitude,Longitude
55.848459,37.573889
55.847922,37.577655
55.847831,37.578953
55.847789,37.581249
55.847747,37.582043
55.847759,37.584865
55.847753,37.585755
55.847704,37.586742
55.847511,37.59083
55.847342,37.595164
55.847137,37.599456
55.846515,37.599252
55.846563,37.597492
55.846416,37.594402
55.846183,37.592536
55.846147,37.591785
55.84599,37.591881
55.844741,37.590175
55.844753,37.58701
55.844089,37.586892
55.843648,37.586367
55.843032,37.586882
55.842905,37.586377
55.84241,37.586774
55.84011,37.588845
55.839748,37.587407
55.839646,37.587461
55.839476,37.586839
55.839996,37.585862
55.839911,37.585165
55.838341,37.581903
55.838661,37.581281
55.838541,37.580444
55.836723,37.580283
55.834834,37.580337
55.833874,37.580401
55.833548,37.584114
55.832835,37.5845
55.833566,37.591431
55.835854,37.590712
55.836108,37.590937
55.835866,37.591173
55.835238,37.592267
55.833674,37.594853
55.832757,37.596441
55.830921,37.600089
55.830571,37.600647
55.830245,37.600947
55.829441,37.601237
55.827334,37.601698
55.823565,37.602449
55.821439,37.602943
55.817984,37.603608
55.816861,37.603994
55.81802,37.602277
55.820726,37.598158
55.823094,37.594488
55.825595,37.590562
55.827328,37.587836
55.829061,37.585154
55.831392,37.581506
55.833674,37.577987
55.83493,37.576121
55.836041,37.577558
55.836385,37.57788
55.837327,37.578449
55.837937,37.578674
55.838341,37.57876
55.838843,37.578781
55.839839,37.57862
55.840611,37.578309
55.841221,37.577902
55.842205,37.576904
55.843865,37.575423
55.84424,37.575187
55.844626,37.575005
55.846153,37.574554
55.84672,37.574361
55.847559,37.574125
55.848453,37.573889
