Latitude,Longitude
55.792116,37.588502
55.793041,37.589038
55.794141,37.589853
55.794878,37.590519
55.795966,37.591828
55.796873,37.593008
55.797719,37.59436
55.798154,37.595196
55.79865,37.596462
55.798819,37.596301
55.799792,37.596301
55.801025,37.596409
55.804348,37.595658
55.80517,37.595314
55.805218,37.595915
55.805533,37.596881
55.805907,37.598512
55.806258,37.59864
55.806693,37.60158
55.80807,37.606365
55.808372,37.606065
55.808971,37.608146
55.81027,37.611901
55.810874,37.613232
55.809274,37.615721
55.807957,37.617931
55.806628,37.619991
55.803486,37.624669
55.802483,37.626085
55.801661,37.627716
55.800706,37.629325
55.799679,37.630913
55.798228,37.632822
55.79662,37.634904
55.794916,37.634539
55.794227,37.634453
55.791833,37.634625
55.791773,37.633166
55.791882,37.631771
55.792377,37.628853
55.792547,37.626857
55.792801,37.622351
55.793103,37.6163
55.791084,37.616472
55.788497,37.616665
55.786719,37.616901
55.78626,37.616836
55.78395,37.615506
55.783588,37.614691
55.783382,37.613017
55.782451,37.612459
55.78308,37.6107
55.783564,37.609348
55.784712,37.605979
55.785293,37.604713
55.785305,37.603533
55.785123,37.601666
55.785353,37.601666
55.786913,37.601065
55.787801,37.600647
55.788587,37.600432
55.789385,37.600132
55.7908,37.599788
55.792456,37.59923
55.792299,37.597085
55.79213,37.594703
55.792148,37.592557
55.792148,37.589993
55.792118,37.588502
