Latitude,Longitude
55.657621,37.793154
55.657706,37.791116
55.658422,37.788047
55.662049,37.7847
55.663541,37.782318
55.666573,37.776782
55.66718,37.775044
55.667361,37.772995
55.667471,37.770988
55.667604,37.768413
55.667774,37.767233
55.66878,37.764444
55.668817,37.76409
55.668774,37.763768
55.667604,37.759519
55.666415,37.751945
55.666112,37.75055
55.665906,37.749992
55.663602,37.744799
55.662607,37.742739
55.662377,37.741988
55.662255,37.741302
55.661758,37.739971
55.660266,37.737783
55.659271,37.734199
55.656505,37.727183
55.656906,37.726238
55.660363,37.720209
55.658216,37.715338
55.658204,37.714286
55.658553,37.713257
55.652487,37.704888
55.649235,37.700596
55.648386,37.698923
55.647476,37.69697
55.646729,37.69565
55.645935,37.694503
55.643872,37.6924
55.639527,37.712827
55.640813,37.728878
55.640207,37.747803
55.648143,37.776943
55.648725,37.78132
55.648531,37.783509
55.657631,37.793208
