Latitude,Longitude
56.0187,37.195549
56.013537,37.190678
56.011253,37.179563
56.010845,37.180217
56.00841,37.181719
56.00805,37.178265
56.006144,37.178876
56.005261,37.17908
56.005098,37.179616
56.005291,37.183629
56.005213,37.18438
56.004353,37.184391
56.004225,37.184428
56.003953,37.182899
56.003483,37.183195
56.003698,37.184726
56.003818,37.185185
56.00365,37.18614
56.003078,37.186687
56.002345,37.186386
56.002147,37.187288
56.002044,37.187277
56.001918,37.18777
56.002032,37.187931
56.00205,37.188822
56.00196,37.189219
56.002303,37.189938
56.002459,37.190388
56.002592,37.190839
56.003036,37.191375
56.003445,37.191654
56.004353,37.194444
56.004395,37.195023
56.004173,37.19571
56.00404,37.195699
56.003806,37.196246
56.003553,37.196278
56.003385,37.196203
56.003217,37.196954
56.003301,37.197319
56.003103,37.19792
56.002327,37.197619
56.002342,37.199191
56.002465,37.200087
56.001738,37.200892
56.00095,37.200784
56.000048,37.20131
55.999826,37.200076
55.999946,37.199551
55.99991,37.19881
55.99964,37.198521
55.999549,37.197512
55.999237,37.197587
55.999062,37.196965
55.99872,37.196911
55.998551,37.197834
55.998347,37.19792
55.998173,37.198639
55.996886,37.199379
55.995515,37.201246
55.993471,37.203027
55.993399,37.203477
55.993603,37.204293
55.992484,37.204443
55.991799,37.205044
55.991631,37.205087
55.990807,37.20469
55.990632,37.20484
55.990506,37.205226
55.990028,37.205274
55.989586,37.20513
55.988804,37.204722
55.988497,37.204711
55.987998,37.20499
55.987857,37.205697
55.987628,37.205804
55.987472,37.206383
55.987466,37.206834
55.987785,37.208175
55.987785,37.208851
55.987701,37.209237
55.987568,37.209409
55.987532,37.209795
55.987213,37.21046
55.987117,37.210535
55.987021,37.211061
55.986991,37.211565
55.987057,37.212059
55.98731,37.212145
55.989312,37.212788
55.989643,37.212928
55.98998,37.213025
55.990599,37.21325
55.991144,37.213368
55.991363,37.213357
55.992662,37.213754
55.992975,37.213904
55.993143,37.213979
55.995061,37.212799
55.997081,37.211576
55.99915,37.210364
56.000448,37.209559
56.000833,37.209355
56.001272,37.211641
56.001254,37.212027
56.000039,37.217187
56.000045,37.221039
56.000064,37.221951
55.999643,37.223517
55.998969,37.225813
55.998284,37.227187
55.998476,37.227744
55.999294,37.228581
55.999559,37.229354
56.002408,37.231221
56.002486,37.230609
56.002378,37.228056
56.001873,37.227519
56.001849,37.226554
56.002631,37.225567
56.00441,37.225266
56.004542,37.226017
56.00423,37.229493
56.004903,37.230652
56.006129,37.227626
56.009916,37.217863
56.012633,37.211083
56.013005,37.211598
56.016347,37.207585
56.016443,37.206834
56.015662,37.203251
56.018703,37.195547
