Latitude,Longitude
55.883885,37.673953
55.88371,37.675101
55.883438,37.676002
55.883089,37.676571
55.883016,37.67685
55.883119,37.677633
55.883173,37.678245
55.884156,37.67921
55.884494,37.679736
55.884723,37.679908
55.885145,37.680412
55.885404,37.680906
55.886297,37.681614
55.886984,37.681614
55.887563,37.68171
55.887937,37.681903
55.888311,37.682204
55.889746,37.683577
55.890927,37.684564
55.891868,37.685036
55.894159,37.685272
55.895117,37.685219
55.895258,37.680305
55.895379,37.676721
55.895728,37.675842
55.896235,37.674854
55.897061,37.673084
55.897549,37.672655
55.898296,37.672322
55.898242,37.671947
55.897519,37.672065
55.897091,37.671775
55.896554,37.671024
55.895915,37.670016
55.89568,37.669522
55.895572,37.669115
55.895728,37.66611
55.895885,37.663106
55.896054,37.660295
55.896584,37.653021
55.89744,37.644975
55.898489,37.637422
55.894704,37.637379
55.890182,37.626457
55.889338,37.62513
55.888916,37.623263
55.888542,37.622791
55.887939,37.623284
55.887637,37.623134
55.887306,37.62219
55.886649,37.621225
55.886142,37.620345
55.885744,37.620409
55.885358,37.621933
55.884888,37.634249
55.884249,37.639925
55.884128,37.641642
55.882035,37.639635
55.879729,37.637425
55.878697,37.636449
55.878396,37.636299
55.877377,37.645858
55.877413,37.647328
55.87681,37.653422
55.876617,37.657252
55.879228,37.657145
55.880217,37.657874
55.880881,37.659012
55.88158,37.66135
55.882075,37.663282
55.882002,37.663818
55.882304,37.664848
55.882304,37.665427
55.882026,37.666457
55.88187,37.668968
55.882026,37.671071
55.882093,37.671736
55.882301,37.672358
55.882521,37.672873
55.882705,37.67342
55.882937,37.673753
55.883172,37.67298
55.883419,37.672852
55.883679,37.673045
55.883829,37.67356
55.883884,37.673957
