Latitude,Longitude
55.86136,37.635104
55.861897,37.634289
55.862355,37.634181
55.862542,37.633903
55.862657,37.633967
55.863025,37.6346
55.863357,37.634643
55.863417,37.634428
55.863321,37.633817
55.863613,37.633211
55.863942,37.632883
55.864213,37.63313
55.864413,37.633152
55.864775,37.632583
55.865239,37.632046
55.865396,37.631639
55.865336,37.631328
55.865125,37.631049
55.865161,37.630673
55.865275,37.630383
55.865408,37.630416
55.865619,37.630619
55.865933,37.630459
55.866186,37.630652
55.8665,37.630416
55.866928,37.630383
55.8679,37.62989
55.868316,37.629407
55.868889,37.628957
55.868949,37.627991
55.869179,37.627809
55.869854,37.62754
55.869993,37.627272
55.870005,37.626725
55.870105,37.626344
55.870264,37.626113
55.870349,37.625867
55.87047,37.625105
55.87053,37.624654
55.870874,37.623796
55.871097,37.623313
55.871978,37.62238
55.872231,37.621629
55.872358,37.62077
55.872726,37.619719
55.873311,37.618957
55.87433,37.618077
55.87462,37.617123
55.874837,37.616608
55.874981,37.61649
55.875132,37.616221
55.875247,37.616307
55.875331,37.616661
55.875784,37.616575
55.875928,37.616693
55.87632,37.616533
55.876833,37.616726
55.87708,37.616511
55.877014,37.616339
55.87699,37.615878
55.877267,37.615535
55.8774,37.615685
55.87737,37.616093
55.877702,37.616071
55.877798,37.615824
55.877973,37.61591
55.878172,37.615685
55.878377,37.61591
55.878389,37.616211
55.878474,37.616404
55.878673,37.616286
55.878775,37.6165
55.87889,37.616511
55.879089,37.61679
55.879457,37.616983
55.880277,37.61679
55.880628,37.616854
55.880996,37.616361
55.881207,37.615106
55.881913,37.614741
55.882142,37.614902
55.882347,37.614634
55.88301,37.614258
55.883143,37.61444
55.883083,37.615213
55.883517,37.615964
55.88383,37.61605
55.883836,37.616726
55.884126,37.616811
55.884084,37.61708
55.884379,37.617337
55.884843,37.618346
55.88529,37.618539
55.885633,37.619043
55.885603,37.619966
55.885748,37.620449
55.885386,37.621779
55.885024,37.631263
55.884892,37.634332
55.884439,37.638183
55.884108,37.641649
55.88143,37.639085
55.87871,37.636456
55.878409,37.636317
55.877402,37.645801
55.877414,37.647324
55.876811,37.653472
55.876599,37.655752
55.876618,37.657259
55.874905,37.657345
55.874326,37.658396
55.873433,37.658697
55.872842,37.658311
55.872106,37.657195
55.87184,37.656143
55.87143,37.656208
55.871135,37.65492
55.870791,37.654105
55.870598,37.65256
55.870224,37.651423
55.869789,37.650929
55.86921,37.650586
55.868764,37.650007
55.868257,37.648934
55.867449,37.648354
55.867075,37.648547
55.866761,37.649019
55.865904,37.646616
55.865446,37.64505
55.86541,37.642196
55.865132,37.6402
55.864034,37.639063
55.863744,37.638527
55.863346,37.638162
55.861355,37.635115
