Latitude,Longitude
55.878487,37.7345
55.877329,37.733298
55.876533,37.731195
55.874917,37.731667
55.874338,37.729693
55.873891,37.727912
55.872938,37.724221
55.873433,37.722505
55.872275,37.719501
55.870827,37.716861
55.870791,37.716432
55.869681,37.71508
55.868064,37.712291
55.865591,37.707828
55.865289,37.70815
55.864239,37.706648
55.863201,37.709008
55.860921,37.70948
55.860522,37.717999
55.853028,37.721561
55.850976,37.719887
55.850396,37.720187
55.849551,37.719286
55.849189,37.717784
55.848634,37.716582
55.846895,37.714222
55.847403,37.712677
55.84733,37.711433
55.847451,37.710274
55.847934,37.705532
55.850155,37.701348
55.848586,37.701154
55.84873,37.699266
55.84826,37.69903
55.847403,37.696584
55.849153,37.694524
55.849889,37.693988
55.852497,37.693773
55.853197,37.69461
55.85386,37.694009
55.855164,37.692722
55.856105,37.689589
55.855997,37.688966
55.855623,37.689181
55.855417,37.688859
55.855526,37.687743
55.854947,37.686906
55.853993,37.688172
55.853559,37.689953
55.852629,37.693237
55.850662,37.692314
55.84797,37.690211
55.847197,37.688966
55.845217,37.685276
55.842489,37.680104
55.842091,37.680555
55.841269,37.679697
55.841245,37.678538
55.840461,37.678366
55.839772,37.677916
55.839,37.676864
55.838492,37.675427
55.838311,37.673495
55.838468,37.672015
55.838794,37.670051
55.83656,37.679032
55.834411,37.687271
55.833735,37.68946
55.832165,37.694009
55.829532,37.701948
55.826899,37.709501
55.824266,37.717527
55.821318,37.725981
55.819337,37.731817
55.818371,37.734521
55.817235,37.73701
55.815665,37.739928
55.814686,37.74172
55.813816,37.743222
55.812958,37.744252
55.812136,37.745078
55.811412,37.745518
55.810928,37.745743
55.809877,37.746033
55.808983,37.746076
55.810656,37.746977
55.811847,37.750711
55.812777,37.7535
55.814758,37.758886
55.815628,37.760968
55.816704,37.763049
55.817513,37.764873
55.818479,37.767276
55.819204,37.771825
55.820533,37.777876
55.821765,37.782168
55.822804,37.78249
55.824797,37.782683
55.824761,37.781395
55.826754,37.781438
55.848368,37.779893
55.855647,37.779207
55.856793,37.776911
55.860064,37.770559
55.86331,37.764337
55.866109,37.758672
55.869222,37.752706
55.871442,37.748329
55.874531,37.742364
55.876461,37.738459
55.878487,37.7345
