Latitude,Longitude
55.759734,37.628334
55.760524,37.62665
55.759854,37.625888
55.759595,37.624965
55.759459,37.62385
55.759275,37.622605
55.759136,37.621446
55.760917,37.620545
55.761698,37.620148
55.763129,37.620019
55.764759,37.619976
55.765236,37.619869
55.766911,37.621414
55.76749,37.621092
55.768788,37.621082
55.770372,37.621049
55.77205,37.621017
55.773365,37.620996
55.773679,37.620599
55.77364,37.618957
55.774669,37.618786
55.775966,37.618614
55.776672,37.618421
55.778036,37.617906
55.779496,37.617359
55.780175,37.61709
55.780359,37.61694
55.78069,37.61649
55.781704,37.614794
55.782515,37.612295
55.782546,37.612574
55.783366,37.612981
55.783586,37.614827
55.783879,37.615503
55.785068,37.616189
55.785647,37.616522
55.786277,37.616833
55.786715,37.616897
55.788177,37.616683
55.789607,37.616554
55.791151,37.616425
55.792617,37.616297
55.793118,37.616264
55.793036,37.618303
55.792985,37.619193
55.792924,37.620524
55.792813,37.622326
55.792695,37.624053
55.792514,37.627294
55.792424,37.628474
55.792367,37.628881
55.791905,37.631478
55.791803,37.632476
55.791803,37.633194
55.791848,37.634632
55.794013,37.63446
55.79464,37.634482
55.797173,37.634954
55.794894,37.63946
55.792976,37.643065
55.792614,37.641069
55.792445,37.640383
55.791275,37.641906
55.790092,37.643344
55.788572,37.644653
55.788391,37.642314
55.788464,37.641456
55.786401,37.642292
55.784781,37.642883
55.783267,37.643483
55.782247,37.643902
55.781071,37.644309
55.77977,37.6449
55.779728,37.644374
55.779683,37.641263
55.778428,37.640672
55.777131,37.640039
55.777091,37.639353
55.776225,37.638849
55.774732,37.638098
55.773932,37.638076
55.77364,37.638033
55.772888,37.637647
55.771841,37.637271
55.7722,37.635222
55.772535,37.63239
55.771265,37.632476
55.770607,37.632486
55.769983,37.632358
55.769014,37.632079
55.768003,37.631832
55.766871,37.63151
55.766328,37.631338
55.76555,37.630974
55.765293,37.630716
55.764988,37.630298
55.764768,37.630062
55.763796,37.6293
55.76309,37.628785
55.762873,37.629901
55.763497,37.630158
55.763437,37.630587
55.762429,37.630233
55.761859,37.629997
55.761542,37.629815
55.76127,37.629632
55.761086,37.62945
55.760817,37.630083
55.760063,37.62872
55.759722,37.628324
