Latitude,Longitude
55.829254,37.393816
55.829786,37.393988
55.83022,37.389761
55.830691,37.38489
55.830631,37.381135
55.830136,37.378431
55.830344,37.378174
55.829486,37.374574
55.828091,37.368813
55.827759,37.36759
55.82739,37.36686
55.826805,37.366173
55.825524,37.364736
55.823749,37.362815
55.821828,37.362064
55.822263,37.360144
55.822909,37.358867
55.824069,37.358245
55.825216,37.357558
55.825446,37.356324
55.825428,37.354586
55.824256,37.355262
55.82338,37.35582
55.8228,37.356271
55.822456,37.354007
55.821731,37.35457
55.821269,37.352344
55.821843,37.350788
55.822133,37.349908
55.822402,37.349871
55.822575,37.350088
55.822915,37.35022
55.824319,37.351791
55.824495,37.351303
55.824561,37.350751
55.826279,37.349522
55.826349,37.348546
55.825796,37.345944
55.826551,37.344624
55.826774,37.345107
55.827149,37.345354
55.828339,37.347038
55.82916,37.34854
55.830549,37.347714
55.832221,37.34854
55.832403,37.347768
55.834516,37.342607
55.836514,37.345064
55.837758,37.342897
55.838857,37.340741
55.840282,37.340676
55.840493,37.344635
55.840638,37.347607
55.841278,37.347843
55.842823,37.348658
55.84308,37.34854
55.843889,37.348884
55.844076,37.348165
55.844954,37.342565
55.84496,37.340644
55.845256,37.335376
55.845389,37.332973
55.845618,37.332887
55.845775,37.332715
55.845763,37.3322
55.845983,37.332074
55.846276,37.332131
55.846457,37.332093
55.846837,37.332276
55.846988,37.333112
55.84716,37.333713
55.847332,37.334057
55.84764,37.334078
55.847755,37.334196
55.847797,37.334464
55.847713,37.334893
55.847936,37.335612
55.848117,37.335762
55.848202,37.336138
55.848153,37.336717
55.848346,37.336363
55.848467,37.336556
55.848274,37.337672
55.848467,37.33794
55.848648,37.337619
55.848992,37.33764
55.849203,37.338112
55.849499,37.337747
55.849795,37.337758
55.850133,37.338241
55.850736,37.338917
55.851147,37.339239
55.851533,37.339882
55.852088,37.340075
55.85268,37.339281
55.853392,37.339796
55.854152,37.340204
55.855106,37.339775
55.856397,37.339668
55.85752,37.34014
55.858908,37.341234
55.860567,37.34191
55.860875,37.34294
55.861291,37.344807
55.861532,37.345461
55.862262,37.34662
55.863149,37.345697
55.863409,37.34735
55.863668,37.349592
55.863789,37.353454
55.864163,37.356909
55.864754,37.358432
55.867861,37.361437
55.867795,37.361866
55.867897,37.362273
55.867608,37.362456
55.867668,37.362885
55.867493,37.363078
55.867517,37.363539
55.867638,37.363765
55.867523,37.364129
55.867662,37.364269
55.867638,37.364677
55.867529,37.364838
55.86762,37.365342
55.867837,37.365084
55.86794,37.365224
55.867958,37.366114
55.868109,37.367037
55.867843,37.367316
55.868097,37.367498
55.867825,37.36796
55.867795,37.368829
55.867934,37.369097
55.867952,37.369376
55.867644,37.369505
55.867698,37.370009
55.867445,37.370277
55.867385,37.370706
55.86762,37.371071
55.867457,37.371414
55.867596,37.371736
55.867578,37.372101
55.867735,37.372165
55.86768,37.372605
55.867427,37.37268
55.86724,37.372959
55.867336,37.373603
55.867529,37.373689
55.867554,37.373936
55.867771,37.374107
55.867861,37.374858
55.868012,37.375148
55.867916,37.375481
55.868072,37.375974
55.868169,37.376468
55.86838,37.376757
55.868356,37.377219
55.868428,37.377573
55.868205,37.377905
55.868151,37.378688
55.868,37.378624
55.867843,37.378978
55.867747,37.378721
55.867511,37.379257
55.867324,37.379182
55.866968,37.379364
55.867035,37.37901
55.86689,37.378538
55.866612,37.37841
55.866576,37.378131
55.866015,37.378367
55.865991,37.378034
55.865816,37.378206
55.865279,37.377937
55.865152,37.378109
55.865014,37.377616
55.864796,37.37753
55.864416,37.377712
55.864097,37.378077
55.863958,37.378345
55.863324,37.379815
55.863035,37.379858
55.862715,37.379418
55.862281,37.378442
55.862124,37.378281
55.861375,37.378281
55.860863,37.378538
55.859897,37.380019
55.85936,37.38003
55.858666,37.377937
55.858153,37.376521
55.857833,37.376435
55.857369,37.376017
55.857001,37.375878
55.856699,37.376167
55.856192,37.376167
55.855884,37.375674
55.855601,37.375009
55.855275,37.374955
55.854533,37.37621
55.854339,37.377315
55.854195,37.378066
55.853609,37.379085
55.853476,37.379815
55.853501,37.380137
55.853676,37.380663
55.854032,37.381145
55.854339,37.381414
55.854575,37.382004
55.854665,37.383162
55.854623,37.383892
55.854478,37.385255
55.854732,37.385941
55.855685,37.386649
55.85586,37.387111
55.855824,37.387583
55.855386,37.388275
55.854913,37.388817
55.854406,37.389514
55.854201,37.389932
55.854134,37.390351
55.854382,37.390758
55.854858,37.391359
55.855009,37.392207
55.855003,37.393312
55.854735,37.393913
55.854442,37.394192
55.854249,37.395093
55.852275,37.394009
55.850175,37.392893
55.848527,37.392089
55.847079,37.391799
55.845968,37.391874
55.844061,37.392604
55.8433,37.393054
55.842497,37.393677
55.840801,37.394792
55.840046,37.395179
55.838151,37.395812
55.837197,37.396037
55.83489,37.396155
55.833604,37.395876
55.831714,37.395383
55.829842,37.394739
55.829184,37.394556
55.829256,37.393816
