Latitude,Longitude
55.698882,37.402335
55.699281,37.403258
55.700227,37.405639
55.700639,37.405983
55.701693,37.405446
55.702371,37.404416
55.70282,37.40476
55.703971,37.407184
55.70643,37.411261
55.706685,37.411948
55.707521,37.412012
55.704601,37.419737
55.704492,37.420617
55.708393,37.421497
55.708308,37.423363
55.707182,37.426861
55.706552,37.42832
55.706067,37.4292
55.705643,37.429436
55.704964,37.429565
55.703971,37.429779
55.702965,37.430509
55.702989,37.431389
55.70328,37.431582
55.704177,37.432633
55.7058,37.436238
55.705728,37.438749
55.706018,37.441967
55.705752,37.442074
55.706745,37.447932
55.707,37.447889
55.709471,37.448726
55.709326,37.451655
55.709059,37.454938
55.710834,37.454477
55.711337,37.454348
55.711755,37.454177
55.713487,37.453447
55.715395,37.452599
55.717351,37.451784
55.71932,37.450926
55.721294,37.450078
55.723455,37.449166
55.725248,37.448394
55.726858,37.447686
55.726807,37.445642
55.72678,37.442461
55.726768,37.441066
55.72684,37.438008
55.72684,37.43215
55.726877,37.425981
55.726895,37.421185
55.726931,37.415639
55.726943,37.413321
55.727179,37.411862
55.72773,37.407774
55.728275,37.40374
55.729086,37.397872
55.72945,37.395297
55.72994,37.391499
55.730037,37.390233
55.729874,37.388414
55.729662,37.386553
55.729044,37.383602
55.728802,37.382465
55.728729,37.381499
55.728705,37.380298
55.728772,37.379236
55.72899,37.377583
55.727185,37.378538
55.725369,37.379461
55.724019,37.379214
55.72371,37.37857
55.723401,37.378538
55.72308,37.379321
55.721542,37.381081
55.721058,37.381617
55.718956,37.382701
55.717279,37.38357
55.715547,37.384418
55.714898,37.384171
55.714002,37.383001
55.713378,37.382036
55.713009,37.381178
55.71267,37.38136
55.712742,37.381929
55.712664,37.382508
55.711488,37.386188
55.710998,37.387111
55.709496,37.388495
55.708454,37.389621
55.706649,37.391917
55.704643,37.394717
55.702674,37.397378
55.702444,37.3974
55.701172,37.39593
55.700839,37.395801
55.700602,37.39594
55.700305,37.396413
55.700239,37.396842
55.700396,37.397282
55.700863,37.397915
55.70082,37.398236
55.700336,37.398945
55.700239,37.399331
55.700239,37.399792
55.700293,37.400511
55.698882,37.402324
