Latitude,Longitude
55.916241,37.39937
55.913751,37.392354
55.911791,37.387161
55.911455,37.383384
55.911479,37.382569
55.91226,37.382483
55.912982,37.382354
55.91398,37.382311
55.913847,37.381067
55.913535,37.380208
55.912597,37.380423
55.912404,37.381067
55.912019,37.381067
55.911827,37.380809
55.911503,37.380895
55.911683,37.377848
55.911527,37.377204
55.908496,37.37008
55.910047,37.368836
55.911094,37.368321
55.913704,37.36669
55.914214,37.366712
55.915237,37.368171
55.916181,37.369093
55.916692,37.369008
55.917564,37.370553
55.917744,37.370617
55.918345,37.369608
55.91962,37.371733
55.920413,37.375767
55.920684,37.37684
55.921068,37.377805
55.921616,37.375831
55.922794,37.37302
55.924267,37.369608
55.925517,37.366755
55.927579,37.362055
55.929135,37.358429
55.929616,37.357206
55.930013,37.356455
55.928414,37.352957
55.927885,37.351863
55.927146,37.350254
55.926803,37.349631
55.926418,37.349245
55.926178,37.349181
55.926154,37.348344
55.925805,37.344181
55.927296,37.343044
55.928618,37.341563
55.930361,37.340276
55.931395,37.338967
55.93196,37.338044
55.932729,37.336435
55.933439,37.335555
55.934689,37.336091
55.935019,37.336735
55.935416,37.336456
55.935777,37.336413
55.936215,37.3368
55.936377,37.337315
55.936353,37.338237
55.936792,37.338538
55.937002,37.338774
55.937705,37.340362
55.938817,37.343087
55.939099,37.343344
55.93955,37.343559
55.939009,37.345447
55.938258,37.347528
55.937116,37.350468
55.93788,37.351766
55.937952,37.351852
55.938207,37.352217
55.938417,37.352657
55.939253,37.353944
55.940112,37.352035
55.940662,37.350811
55.940932,37.351434
55.94144,37.350651
55.941846,37.349878
55.942098,37.349556
55.942344,37.349159
55.942615,37.348709
55.943017,37.347936
55.943083,37.347829
55.943246,37.347797
55.944297,37.346026
55.94524,37.344374
55.945529,37.34372
55.946682,37.341767
55.946225,37.340662
55.948418,37.338237
55.949025,37.338817
55.951518,37.336349
55.952563,37.336821
55.952966,37.336907
55.954323,37.336091
55.954606,37.336606
55.95487,37.336971
55.954984,37.337315
55.955596,37.338516
55.954978,37.339353
55.9549,37.339696
55.955038,37.339997
55.955915,37.341907
55.95678,37.340641
55.957008,37.341284
55.95672,37.341821
55.956528,37.342529
55.956377,37.343237
55.956371,37.344696
55.956462,37.34593
55.956561,37.34696
55.956681,37.3477
55.957074,37.349277
55.957131,37.349985
55.956969,37.350318
55.956278,37.349095
55.955497,37.347732
55.954819,37.346563
55.954335,37.346305
55.954332,37.347668
55.953299,37.349545
55.952182,37.350994
55.951422,37.35197
55.951662,37.352453
55.951515,37.352871
55.95241,37.354277
55.952951,37.354867
55.953518,37.3555
55.953816,37.355607
55.95435,37.355929
55.955182,37.356305
55.955465,37.356702
55.956239,37.359309
55.955798,37.359888
55.955762,37.362442
55.955708,37.365263
55.955915,37.368407
55.956104,37.371046
55.956134,37.371776
55.956038,37.372677
55.955591,37.374683
55.955305,37.376185
55.954912,37.375885
55.954642,37.37552
55.954467,37.375209
55.954254,37.375069
55.953996,37.375091
55.953705,37.37522
55.953497,37.375509
55.953224,37.376003
55.952716,37.376883
55.952134,37.378106
55.951818,37.379179
55.951515,37.37994
55.951064,37.380917
55.95089,37.381507
55.950848,37.382054
55.95095,37.382633
55.951125,37.383213
55.951335,37.383556
55.951503,37.383685
55.951647,37.383652
55.951947,37.383277
55.952182,37.383116
55.952392,37.38288
55.952632,37.382858
55.952774,37.382966
55.95287,37.383105
55.953041,37.383652
55.953206,37.384511
55.953215,37.384908
55.953149,37.385348
55.952945,37.385905
55.952939,37.386292
55.953224,37.387118
55.953335,37.387568
55.953329,37.387826
55.953218,37.388502
55.953065,37.38921
55.952882,37.389457
55.952704,37.389414
55.952482,37.389274
55.952122,37.389757
55.952014,37.390176
55.952068,37.390626
55.952245,37.391549
55.952293,37.392547
55.952254,37.392772
55.951954,37.393062
55.951521,37.393062
55.951305,37.392911
55.950836,37.392032
55.950476,37.39171
55.949923,37.391699
55.949737,37.391849
55.949569,37.391806
55.949178,37.392107
55.948782,37.39275
55.948674,37.39362
55.948662,37.394199
55.948797,37.3948
55.94937,37.396398
55.949725,37.397954
55.949767,37.39863
55.949989,37.399402
55.950034,37.400261
55.950142,37.400743
55.950296,37.401055
55.950338,37.401334
55.950362,37.402009
55.950692,37.403351
55.950824,37.403748
