Latitude,Longitude
55.652217,37.657531
55.653333,37.655922
55.654015,37.654849
55.654655,37.654395
55.655022,37.654442
55.655353,37.654618
55.655621,37.654833
55.655872,37.654586
55.656599,37.654908
55.657518,37.65501
55.658355,37.654827
55.659053,37.655128
55.659547,37.655554
55.660017,37.656109
55.660606,37.656104
55.661091,37.656447
55.661258,37.656742
55.661524,37.656753
55.661919,37.656946
55.662834,37.657611
55.662919,37.658137
55.663016,37.658309
55.663508,37.658191
55.664824,37.659264
55.665145,37.659521
55.665236,37.659907
55.665503,37.660165
55.665855,37.660208
55.667274,37.661388
55.667898,37.660991
55.668893,37.661635
55.669529,37.661935
55.6715,37.662354
55.677114,37.66363
55.679988,37.664274
55.681491,37.664489
55.684104,37.664896
55.686292,37.665197
55.685183,37.651807
55.684528,37.64228
55.684431,37.637473
55.685522,37.633396
55.687437,37.631165
55.691758,37.62888
55.691516,37.627131
55.691371,37.625586
55.690692,37.621809
55.687407,37.622496
55.685649,37.622947
55.683576,37.62344
55.681976,37.623848
55.679479,37.624706
55.675586,37.626058
55.67287,37.627088
55.67207,37.626745
55.670566,37.625951
55.668359,37.624127
55.666661,37.622668
55.663653,37.62256
55.659056,37.622346
55.657443,37.62226
55.656375,37.622775
55.655914,37.623322
55.655635,37.623783
55.654288,37.626959
55.652444,37.631165
55.653148,37.632967
55.652638,37.63374
55.655259,37.637516
55.658267,37.641808
55.656769,37.645091
55.65532,37.648374
55.654422,37.650284
55.653391,37.652408
55.652117,37.655133
55.651449,37.65685
55.652214,37.657536
