Latitude,Longitude
55.697227,37.684332
55.694416,37.703279
55.689083,37.710832
55.682828,37.712119
55.679191,37.708085
55.67696,37.703622
55.674341,37.694867
55.670509,37.681735
55.667452,37.67444
55.660806,37.672036
55.655104,37.671479
55.65377,37.664848
55.650409,37.660878
55.652217,37.657531
55.653333,37.655922
55.654015,37.654849
55.654655,37.654395
55.655022,37.654442
55.655353,37.654618
55.655621,37.654833
55.655872,37.654586
55.656599,37.654908
55.657518,37.65501
55.658355,37.654827
55.659053,37.655128
55.659547,37.655554
55.660017,37.656109
55.660606,37.656104
55.661091,37.656447
55.661258,37.656742
55.661524,37.656753
55.661919,37.656946
55.662834,37.657611
55.662919,37.658137
55.663016,37.658309
55.663508,37.658191
55.664824,37.659264
55.665145,37.659521
55.665236,37.659907
55.665503,37.660165
55.665855,37.660208
55.667274,37.661388
55.667898,37.660991
55.668893,37.661635
55.669529,37.661935
55.6715,37.662354
55.677114,37.66363
55.679988,37.664274
55.681491,37.664489
55.684104,37.664896
55.686292,37.665197
55.691025,37.665958
55.696564,37.666709
55.700551,37.667246
55.700248,37.671312
55.698527,37.674187
55.697994,37.679466
55.69723,37.684337
