Latitude,Longitude
55.690701,37.621793
55.687465,37.622512
55.683561,37.623435
55.681985,37.623842
55.678275,37.625108
55.674977,37.626289
55.672891,37.62704
55.672103,37.626696
55.6706,37.62601
55.668307,37.624057
55.666804,37.622716
55.665997,37.622662
55.663887,37.622566
55.66191,37.622458
55.659963,37.622373
55.658046,37.622276
55.656117,37.622201
55.654431,37.622147
55.653624,37.622126
55.651283,37.622276
55.64746,37.62307
55.645628,37.623478
55.643796,37.623971
55.643128,37.624143
55.640713,37.624915
55.63939,37.62528
55.635604,37.626203
55.632581,37.626911
55.632296,37.623006
55.63263,37.620474
55.633358,37.619787
55.634074,37.61983
55.637752,37.61983
55.640555,37.619744
55.640944,37.612899
55.641356,37.605603
55.644791,37.605518
55.647624,37.605448
55.650457,37.605421
55.653206,37.605367
55.656511,37.605314
55.656791,37.605475
55.660903,37.61041
55.663474,37.6135
55.664129,37.607277
55.6655,37.60732
55.665415,37.610603
55.666143,37.611569
55.668629,37.606741
55.671309,37.606548
55.671843,37.605689
55.673298,37.605646
55.674086,37.607213
55.674571,37.607363
55.674741,37.608028
55.675347,37.608436
55.67565,37.60938
55.676438,37.609251
55.677202,37.611268
55.677869,37.611933
55.678269,37.61159
55.678657,37.611805
55.678766,37.612363
55.680221,37.613993
55.680257,37.614444
55.680888,37.614895
55.68184,37.614648
55.682906,37.614272
55.683501,37.613779
55.683949,37.613661
55.684313,37.614519
55.684385,37.615646
55.684634,37.616257
55.684513,37.616772
55.684664,37.616933
55.684986,37.616901
55.685004,37.616096
55.68487,37.614895
55.68461,37.613543
55.684119,37.610989
55.684022,37.609723
55.684022,37.608693
55.684167,37.60762
55.684392,37.606912
55.684798,37.606033
55.685416,37.605357
55.686095,37.604981
55.686701,37.605013
55.687307,37.605131
55.687846,37.605324
55.688289,37.60541
55.688634,37.605378
55.689119,37.605196
55.689416,37.604938
55.68978,37.604573
55.690052,37.604026
55.690289,37.603533
55.690634,37.602803
55.690943,37.602063
55.691404,37.601205
55.691525,37.60143
55.691289,37.601784
55.690307,37.603812
55.689949,37.605389
55.689555,37.607384
55.689301,37.609283
55.689192,37.61115
55.68918,37.61277
55.689337,37.614701
55.689719,37.616912
55.690125,37.618961
55.690701,37.621793
