Latitude,Longitude
55.682949,37.913339
55.685592,37.916761
55.685883,37.917083
55.686125,37.917576
55.687168,37.917576
55.687713,37.917855
55.688065,37.918285
55.688271,37.919143
55.688368,37.920387
55.688465,37.921374
55.688828,37.922619
55.689349,37.92352
55.691155,37.925108
55.693834,37.927533
55.694149,37.927619
55.695155,37.92867
55.696888,37.936137
55.696561,37.93927
55.696524,37.940268
55.69667,37.944635
55.694919,37.944956
55.694349,37.945879
55.693513,37.945944
55.69104,37.953518
55.689622,37.95781
55.689495,37.959505
55.689331,37.96003
55.689331,37.960706
55.689065,37.961339
55.68861,37.96105
55.688301,37.961125
55.687883,37.961661
55.687695,37.962573
55.687471,37.963474
55.687246,37.963689
55.687022,37.963646
55.686725,37.963335
55.686616,37.963378
55.686525,37.963646
55.686495,37.964526
55.686392,37.964773
55.686077,37.964891
55.685986,37.963399
55.685901,37.963169
55.685767,37.963002
55.685501,37.96297
55.685064,37.963099
55.684967,37.963378
55.684628,37.963861
55.684373,37.963828
55.684282,37.963678
55.683961,37.963764
55.683767,37.963657
55.683434,37.963614
55.682858,37.963153
55.682434,37.963185
55.682015,37.963421
55.681688,37.9637
55.680858,37.963517
55.68047,37.963941
55.680082,37.964472
55.679809,37.964494
55.679403,37.964022
55.679033,37.963464
55.678821,37.963206
55.678384,37.962895
55.677814,37.961994
55.677511,37.961854
55.676614,37.961908
55.675632,37.961565
55.675305,37.961693
55.675014,37.962659
55.674541,37.963646
55.673904,37.963989
55.673643,37.963485
55.675147,37.950117
55.675608,37.948615
55.675947,37.934281
55.676105,37.931642
55.676141,37.927565
55.676117,37.927222
55.676323,37.920484
55.680361,37.919197
55.68127,37.914326
55.682949,37.913339
